Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
0.0,0.95597833,-0.060997631,0.0,0,11.076097,0.0007772597,-0.0040724361,12.232128,11.075812,23.44495,-9.1156788
0.1,0.95650131,-0.0093628028,0.0,0,11.076097,0.21956486,-0.00061564922,12.188816,11.076082,23.504257,-9.4535761
0.2,0.94999653,-0.002721024,0.0,0,11.076097,0.51605803,-0.0001694503,12.099905,11.077108,23.479849,-9.4742699
0.3,0.94649309,-0.0021271214,0.0,0,11.076097,0.8159076,-0.00014317385,12.055285,11.077058,23.44644,-9.4763422
0.4,0.94200176,-0.0020173553,0.0,0,11.076097,1.1158991,-0.00015389049,11.993884,11.075789,23.479454,-9.4768772
0.5,0.93760163,-0.0019421154,0.0,0,11.076097,1.4159007,-0.0001254832,11.937903,11.076356,23.443708,-9.4769306
0.6,0.93744004,-0.0018542431,0.0,0,11.076097,1.7159003,-0.00011949858,11.933493,11.076548,23.401325,-9.4771252
0.7,0.92358011,-0.0020657135,0.0,0,11.076097,2.0158994,-0.00011929161,11.761606,11.07664,23.512638,-9.4767838
0.8,0.9304679,-0.0017580958,0.0,0,11.076097,2.3159008,-0.00013268256,11.857072,11.0773,23.426155,-9.4769354
0.9,0.92710036,-0.0018280128,0.0,0,11.076097,2.6158996,-0.00012599282,11.789042,11.077368,23.429798,-9.4770985
1.0,0.91569775,-0.0018788641,0.0,0,11.076097,2.9159009,-0.00013072001,11.660145,11.076751,23.407688,-9.476943
1.1,0.90606833,-0.0020135234,0.0,0,11.076097,3.2159004,-0.00011384404,11.537822,11.076616,23.418186,-9.476469
1.2,0.89476961,-0.0019907078,0.0,0,11.076097,3.5158999,-0.00012898039,11.394973,11.074892,23.417526,-9.4758692
1.3,0.8920542,-0.0018182355,0.0,0,11.076097,3.8159013,-0.00013919,11.362153,11.07665,23.44301,-9.4756622
1.4,0.88997978,-0.0020042374,0.0,0,11.076097,4.1159005,-0.00012443372,11.339029,11.077128,23.426069,-9.4752731
1.5,0.88471878,-0.0020731695,0.0,0,11.076097,4.4159012,-0.00013116085,11.267018,11.076232,23.357378,-9.4750824
1.6,0.88174284,-0.0021909378,0.0,0,11.076097,4.7158995,-0.00013362341,11.226869,11.075975,23.41526,-9.4751453
1.7,0.8830927,-0.0019132487,0.0,0,11.076097,5.0159006,-0.00014014951,11.227965,11.076425,23.371347,-9.4746828
1.8,0.87644881,-0.002373891,0.0,0,11.076097,5.3159013,-0.00015181456,11.15835,11.076137,23.413628,-9.4742832
1.9,0.88010806,-0.0022084268,0.0,0,11.076097,5.6159005,-0.00014367209,11.20765,11.077515,23.405582,-9.4741297
2.0,0.8709141,-0.0021643871,0.0,0,11.076097,5.9159017,-0.00012504942,11.090816,11.076172,23.418329,-9.4739866
2.1,0.86973125,-0.0022486325,0.0,0,11.076097,6.2159009,-0.00015810941,11.059151,11.076243,23.361801,-9.4738712
2.2,0.86933428,-0.0021976877,0.0,0,11.076097,6.5159016,-0.00015413268,11.070653,11.075271,23.32687,-9.4738436
2.3,0.87077594,-0.0024005796,0.0,0,11.076097,6.8159022,-0.00015716045,11.0967,11.077741,23.367113,-9.4739103
2.4,0.86871821,-0.0022979355,0.0,0,11.076097,7.1159005,-0.00014023957,11.074496,11.076015,23.357967,-9.4738922
2.5,0.87072802,-0.0022460148,0.0,0,11.076097,7.4159017,-0.00013507497,11.097652,11.07614,23.407648,-9.4737129
2.6,0.86694676,-0.0020646097,0.0,0,11.076097,7.7159014,-0.00015658887,11.027126,11.075445,23.386393,-9.473135
