Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
0.0,1.5330845,0.53966397,0.0,0,10.594783,0.0012583095,0.03665477,18.834166,10.594805,13.04723,-9.1135635
0.1,1.5326736,0.038689557,0.0,0,10.594783,0.21957041,0.0026136325,19.463678,10.595625,13.092293,-9.4586287
0.2,1.5224197,-0.0023298527,0.0,0,10.594783,0.51603478,-0.00013187768,19.390688,10.59609,12.992167,-9.479475
0.3,1.5232648,-0.003417165,0.0,0,10.594783,0.81588274,-0.0002339201,19.403566,10.594976,13.000339,-9.481616
0.4,1.5125624,-0.0035665783,0.0,0,10.594783,1.1158743,-0.00021265584,19.271955,10.594566,12.937531,-9.4818754
0.5,1.509652,-0.0035064241,0.0,0,10.594783,1.4158758,-0.00022601742,19.215145,10.59488,12.989196,-9.4821577
0.6,1.4934007,-0.0034571297,0.0,0,10.594783,1.715875,-0.00022636395,19.026291,10.594463,13.066968,-9.481823
0.7,1.4912938,-0.0034290843,0.0,0,10.594783,2.0158746,-0.00022800543,18.988913,10.596012,13.053116,-9.481782
0.8,1.4882888,-0.0034292573,0.0,0,10.594783,2.315876,-0.00023916288,18.949476,10.595396,13.028222,-9.4817114
0.9,1.4885502,-0.0034171289,0.0,0,10.594783,2.6158743,-0.00022480256,18.959454,10.59514,13.022902,-9.4817553
1.0,1.48262,-0.0032982556,0.0,0,10.594783,2.9158762,-0.00024529698,18.891342,10.59467,12.991641,-9.4815178
1.1,1.4729118,-0.0035003021,0.0,0,10.594783,3.2158749,-0.00021406895,18.755188,10.594968,12.974144,-9.4812927
1.2,1.465328,-0.0033080988,0.0,0,10.594783,3.5158746,-0.00024106477,18.655493,10.59549,12.983517,-9.4806232
1.3,1.4594413,-0.0035937477,0.0,0,10.594783,3.8158758,-0.00020991628,18.588339,10.595094,13.050691,-9.480547
1.4,1.4580455,-0.0030923414,0.0,0,10.594783,4.1158743,-0.00019956165,18.569649,10.596113,13.034022,-9.4802561
1.5,1.4525411,-0.0036004586,0.0,0,10.594783,4.4158759,-0.00022049414,18.497398,10.59519,13.009452,-9.4802313
1.6,1.4540826,-0.003425641,0.0,0,10.594783,4.7158742,-0.00021862646,18.520803,10.594964,13.002617,-9.479764
1.7,1.4455647,-0.0034931698,0.0,0,10.594783,5.0158744,-0.00024484191,18.415142,10.595597,12.991434,-9.47925
1.8,1.4528261,-0.0035305298,0.0,0,10.594783,5.315876,-0.00023887759,18.505077,10.594589,13.037199,-9.4793959
1.9,1.4423147,-0.0034506165,0.0,0,10.594783,5.6158752,-0.00025593652,18.378967,10.595334,12.993268,-9.4792166
2.0,1.4382501,-0.003463509,0.0,0,10.594783,5.9158759,-0.00023630743,18.327494,10.595499,12.962237,-9.4789534
2.1,1.4394066,-0.0032931354,0.0,0,10.594783,6.2158747,-0.00024775523,18.333063,10.594966,13.056365,-9.4788437
2.2,1.4452875,-0.0032918144,0.0,0,10.594783,6.5158744,-0.00019567041,18.394897,10.594727,12.977545,-9.4791994
2.3,1.4390012,-0.0032957185,0.0,0,10.594783,6.8158755,-0.00023102151,18.334015,10.594769,13.000599,-9.4789658
2.4,1.4401913,-0.0035752675,0.0,0,10.594783,7.1158743,-0.00021627305,18.339851,10.595014,12.972807,-9.4788294
2.5,1.4348973,-0.0033574849,0.0,0,10.594783,7.4158773,-0.00021995619,18.269077,10.595167,13.001993,-9.4787731
2.6,1.4301854,-0.0035606099,0.0,0,10.594783,7.7158751,-0.0002241756,18.221779,10.594851,13.055935,-9.4787397
