Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
0.0,1.6322851,-0.042755306,0.0,0,10.594783,0.0013620744,-0.0028427802,20.847967,10.596064,13.224101,-9.120635
0.1,1.6190394,0.0020149723,0.0,0,10.594783,0.21961355,0.00014695064,20.623344,10.594855,13.293749,-9.4675484
0.2,1.6130587,0.0051537114,0.0,0,10.594783,0.51607335,0.0003283245,20.538561,10.594934,13.292029,-9.4883909
0.3,1.6082642,0.0051444527,0.0,0,10.594783,0.81592143,0.00035181173,20.467318,10.594705,13.276167,-9.4901676
0.4,1.6019655,0.0052111214,0.0,0,10.594783,1.1159142,0.00034133188,20.396322,10.594713,13.266809,-9.4905272
0.5,1.593379,0.0052177995,0.0,0,10.594783,1.4159137,0.0003593268,20.281101,10.595877,13.219718,-9.4906111
0.6,1.5890806,0.0052863173,0.0,0,10.594783,1.7159151,0.00038381861,20.23035,10.593508,13.260368,-9.4909096
0.7,1.5792273,0.0052210111,0.0,0,10.594783,2.015913,0.00032682988,20.10902,10.594895,13.279252,-9.4906635
0.8,1.5744071,0.0051024319,0.0,0,10.594783,2.3159142,0.00033639892,20.027746,10.594697,13.303776,-9.4904556
0.9,1.5677408,0.0050261868,0.0,0,10.594783,2.6159134,0.0003373471,19.960464,10.594969,13.264012,-9.4902334
1.0,1.5630672,0.0052850945,0.0,0,10.594783,2.9159129,0.00034721347,19.900637,10.593839,13.277457,-9.4897728
1.1,1.5516318,0.0050108354,0.0,0,10.594783,3.2159147,0.00035247736,19.74881,10.595882,13.280728,-9.4895611
1.2,1.5463715,0.0052935644,0.0,0,10.594783,3.5159128,0.00033452603,19.674608,10.594693,13.294648,-9.4890327
1.3,1.5393273,0.0053380905,0.0,0,10.594783,3.8159142,0.00036055857,19.609245,10.594002,13.262082,-9.4884977
1.4,1.5382299,0.0050639156,0.0,0,10.594783,4.1159134,0.00035594829,19.586172,10.595275,13.258837,-9.4882164
1.5,1.5318354,0.0052073938,0.0,0,10.594783,4.4159126,0.00033193443,19.497431,10.594576,13.318105,-9.4883757
1.6,1.5271647,0.0051557804,0.0,0,10.594783,4.7159147,0.0003418616,19.420605,10.595541,13.341404,-9.48771
1.7,1.5255263,0.0050972328,0.0,0,10.594783,5.0159135,0.00033415013,19.411415,10.594742,13.217576,-9.4875813
1.8,1.5262281,0.0053321333,0.0,0,10.594783,5.3159142,0.00036474978,19.42646,10.595107,13.233072,-9.4873171
1.9,1.5228121,0.0050468366,0.0,0,10.594783,5.6159134,0.00036143576,19.388783,10.59516,13.245879,-9.4870224
2.0,1.5182747,0.0052769557,0.0,0,10.594783,5.9159126,0.00032633898,19.321278,10.595071,13.245563,-9.487052
