Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
0.0,1.5138868,-8.3236036,0.0,0,10.594783,0.0013609888,-0.44141531,29.976233,10.594733,12.468451,-9.1206284
0.1,1.507506,-0.9249475,0.0,0,10.594783,0.21959774,-0.04951781,20.389093,10.594503,12.497439,-9.4660749
0.2,1.499994,-0.045040667,0.0,0,10.594783,0.51606107,-0.0025036491,19.158466,10.594629,12.480214,-9.4870539
0.3,1.4968687,-0.0069699176,0.0,0,10.594783,0.81590617,-0.0004525664,19.056997,10.594999,12.510247,-9.4891386
0.4,1.4897319,-0.0050080889,0.0,0,10.594783,1.1159002,-0.00034662144,18.966297,10.594559,12.525775,-9.4895706
0.5,1.4856945,-0.0049486598,0.0,0,10.594783,1.4159005,-0.00031632915,18.921263,10.594576,12.517187,-9.4896507
0.6,1.4832885,-0.0049970997,0.0,0,10.594783,1.7158992,-0.00030659558,18.902044,10.594693,12.479922,-9.4897938
0.7,1.4712512,-0.0049572163,0.0,0,10.594783,2.0159016,-0.00034065466,18.740664,10.594664,12.468865,-9.489687
0.8,1.4681469,-0.0048714136,0.0,0,10.594783,2.3158994,-0.00032231645,18.699326,10.595105,12.489569,-9.4895191
0.9,1.4710569,-0.0047191964,0.0,0,10.594783,2.6158996,-0.00032800098,18.729774,10.595199,12.476657,-9.4897766
1.0,1.4623742,-0.0046795555,0.0,0,10.594783,2.9159007,-0.00029477,18.618965,10.594548,12.45816,-9.4895477
1.1,1.4630325,-0.0050014406,0.0,0,10.594783,3.2158992,-0.00032236942,18.629786,10.594936,12.483148,-9.4896288
1.2,1.4471161,-0.0050559239,0.0,0,10.594783,3.5159016,-0.0003408276,18.441925,10.594838,12.548841,-9.4888716
1.3,1.4404989,-0.0048633027,0.0,0,10.594783,3.8158998,-0.00031027186,18.339218,10.594677,12.521856,-9.4882736
1.4,1.4383348,-0.0049453117,0.0,0,10.594783,4.1159005,-0.00034923863,18.324621,10.594921,12.520206,-9.4878511
1.5,1.4372863,-0.0050437488,0.0,0,10.594783,4.4159002,-0.00034145324,18.305664,10.595971,12.501162,-9.4876575
1.6,1.4315561,-0.0051124664,0.0,0,10.594783,4.7159004,-0.00035043116,18.232285,10.594701,12.478767,-9.4876318
1.7,1.429824,-0.0052788532,0.0,0,10.594783,5.0159016,-0.00033928719,18.203392,10.594944,12.509595,-9.487134
1.8,1.4259406,-0.005550833,0.0,0,10.594783,5.3159003,-0.00034107917,18.160582,10.595188,12.469913,-9.4869375
1.9,1.424474,-0.0051311692,0.0,0,10.594783,5.6159015,-0.0003629296,18.141798,10.594907,12.472458,-9.4863997
2.0,1.4178793,-0.005166275,0.0,0,10.594783,5.9159012,-0.00034922949,18.052246,10.594143,12.464224,-9.4859667
2.1,1.4188483,-0.005144849,0.0,0,10.594783,6.2158999,-0.0003578013,18.071123,10.594429,12.518168,-9.4861803
2.2,1.4207237,-0.0050806045,0.0,0,10.594783,6.515903,-0.00032713453,18.099648,10.595517,12.490113,-9.4863758
2.3,1.419181,-0.0055159079,0.0,0,10.594783,6.8158998,-0.00034211576,18.081108,10.594927,12.500775,-9.4862976
2.4,1.4161758,-0.0052298415,0.0,0,10.594783,7.1159019,-0.00036809154,18.033049,10.594541,12.523902,-9.4860573
2.5,1.4149097,-0.0053603463,0.0,0,10.594783,7.4159021,-0.00035092692,18.022335,10.594414,12.445394,-9.485919
2.6,1.4074707,-0.0051640142,0.0,0,10.594783,7.7159009,-0.00036227095,17.92634,10.594714,12.431481,-9.4854708
2.7,1.4110874,-0.0053431098,0.0,0,10.594783,8.0159025,-0.00035121912,17.962387,10.594604,12.496374,-9.4854412
2.8,1.4056952,-0.0054239281,0.0,0,10.594783,8.3159008,-0.00035915879,17.903496,10.594558,12.496327,-9.4854307
2.9,1.4009951,-0.0052181617,0.0,0,10.594783,8.6159019,-0.00034945025,17.835186,10.59553,12.505336,-9.4854088
3.0,1.4033893,-0.0055196043,0.0,0,10.594783,8.9159002,-0.00034516703,17.884146,10.594253,12.480772,-9.4852552
3.1,1.4168236,-0.0047802124,0.0,0,10.594783,9.2159014,-0.00034141858,18.051485,10.594226,12.453305,-9.4855871
3.2,1.4087504,-0.0051667346,0.0,0,10.594783,9.5159025,-0.0003460162,17.94388,10.594398,12.485377,-9.4852867
3.3,1.4023256,-0.0053819539,0.0,0,10.594783,9.8159008,-0.0003677106,17.851683,10.594803,12.547738,-9.4847918
3.4,1.3985718,-0.0052540554,0.0,0,10.594783,10.115903,-0.00034631402,17.801258,10.595066,12.491014,-9.4849854
3.5,1.396786,-0.0055960105,0.0,0,10.594783,10.415903,-0.00034530764,17.790499,10.595594,12.484101,-9.4847832
3.6,1.3914717,-0.0051486311,0.0,0,10.594783,10.715901,-0.00036780507,17.72366,10.595897,12.455118,-9.4845972
3.7,1.3929982,-0.0051665972,0.0,0,10.594783,11.015903,-0.00034620441,17.757187,10.594687,12.423502,-9.4846735
3.8,1.3853381,-0.0051740892,0.0,0,10.594783,11.315902,-0.00036017451,17.644552,10.594143,12.475786,-9.4839859
3.9,1.3873196,-0.0050105895,0.0,0,10.594783,11.615903,-0.00031008673,17.672672,10.594576,12.46972,-9.4836445
4.0,1.3894109,-0.0051681008,0.0,0,10.594783,11.915902,-0.00032470576,17.695215,10.594837,12.49108,-9.4834642
4.1,1.3801119,-0.0052186372,0.0,0,10.594783,12.215901,-0.00036275852,17.584404,10.595381,12.515263,-9.4831781
4.2,1.3810591,-0.0054442887,0.0,0,10.594783,12.515903,-0.00035022237,17.591089,10.595188,12.475425,-9.4830217
4.3,1.3795856,-0.0051165475,0.0,0,10.594783,12.815903,-0.00036123794,17.568598,10.595498,12.487758,-9.4831791
4.4,1.3768867,-0.0054707141,0.0,0,10.594783,13.115904,-0.00036193943,17.530603,10.595492,12.444817,-9.4830952
4.5,1.3737808,-0.0052471184,3.4090147,0,10.594783,13.415902,-0.00035169351,17.505283,10.594697,12.429097,-9.4825706
4.6,1.3801668,-0.0049789548,4.3728971,0,10.594783,13.715902,-0.00032781679,17.574841,10.595051,12.437377,-9.4824677
4.7,1.3753079,-0.0051357117,7.8622856,0,10.594783,14.015904,-0.00030724923,17.517843,10.594768,12.444257,-9.4822531
4.8,1.3759043,-0.0052278712,10.582902,0,10.594783,14.315902,-0.00037276544,17.524258,10.594709,12.481215,-9.4821663
4.9,1.3723379,-0.0051470385,12.162083,0,10.594783,14.615904,-0.00035134249,17.472591,10.594908,12.480316,-9.4820232
5.0,1.3767256,-0.0053580818,13.664921,0,10.594783,14.915904,-0.00037033303,17.537378,10.595389,12.502686,-9.482111
