Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
0.0,0.78345543,0.26042727,0.0,0,11.076097,0.00069119054,0.017507449,9.7987766,11.076318,29.151262,-9.1306162
0.1,0.7790978,0.021545047,0.0,0,11.076097,0.21955247,0.0014556263,9.9025593,11.076296,29.059952,-9.4771605
0.2,0.77445108,0.00033691342,0.0,0,11.076097,0.51603961,7.8036019e-06,9.8609762,11.075843,29.10775,-9.4980345
0.3,0.77010292,-0.00060689211,0.0,0,11.076097,0.81588858,-3.4823064e-05,9.8118782,11.075701,29.099768,-9.4999342
0.4,0.7664811,-0.00068972842,0.0,0,11.076097,1.1158811,-6.2772458e-05,9.7625437,11.076179,29.053122,-9.4996729
0.5,0.76596588,-0.00068342267,0.0,0,11.076097,1.4158818,-4.8252125e-05,9.7491913,11.075569,29.161781,-9.5001049
0.6,0.76338643,-0.00047541672,0.0,0,11.076097,1.7158809,-5.019518e-05,9.7238436,11.075946,29.141747,-9.5003357
0.7,0.7568624,-0.00045756999,0.0,0,11.076097,2.0158808,-3.7624821e-05,9.6257524,11.076027,29.085344,-9.5003214
0.8,0.7518121,-0.0006848367,0.0,0,11.076097,2.3158815,-7.3950774e-05,9.5671282,11.076117,29.119692,-9.4999294
0.9,0.749695,-0.0007378466,0.0,0,11.076097,2.615881,-5.4008935e-05,9.5498266,11.076854,29.118412,-9.4998169
1.0,0.74186838,-0.00063125009,0.0,0,11.076097,2.9158814,-6.832739e-05,9.4477959,11.076653,29.147766,-9.4997025
1.1,0.73687178,-0.00053073879,0.0,0,11.076097,3.2158809,-3.2432974e-05,9.369525,11.075786,29.141432,-9.4994307
1.2,0.73526961,-0.00061609386,0.0,0,11.076097,3.5158808,-6.3617903e-05,9.3563461,11.075623,29.05831,-9.4993258
1.3,0.73329806,-0.00084427005,0.0,0,11.076097,3.8158815,-4.8696824e-05,9.3292294,11.077479,29.074472,-9.498455
1.4,0.72502965,-0.00042979093,0.0,0,11.076097,4.115881,-5.9699185e-05,9.2320366,11.076425,29.098806,-9.4983978
1.5,0.72600925,-0.00074467913,0.0,0,11.076097,4.4158812,-2.6285566e-05,9.2402248,11.076587,29.154947,-9.4983921
