Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
0.0,7.2952642,0.80228317,0.0,0,11.076097,0.001662507,0.054996409,87.91217,11.076509,23.574142,-9.1204863
0.1,7.2541089,0.10397855,0.0,0,11.076097,0.21959433,0.0071220039,91.707863,11.075688,23.636297,-9.4642744
0.2,7.1941652,0.0014847941,0.0,0,11.076097,0.51604259,0.00012823683,91.571281,11.077,23.626707,-9.4855824
0.3,7.1491652,-0.0027242103,0.0,0,11.076097,0.81588966,-0.0001743637,91.030594,11.076228,23.647028,-9.4879522
0.4,7.1021791,-0.0030548081,0.0,0,11.076097,1.1158814,-0.00022059784,90.434662,11.075735,23.579515,-9.4887352
0.5,7.0572429,-0.0029043879,0.0,0,11.076097,1.4158833,-0.00020340497,89.888992,11.076291,23.597282,-9.4885702
0.6,7.0305023,-0.0028817079,0.0,0,11.076097,1.7158815,-0.00022163741,89.551277,11.076655,23.605515,-9.4889421
0.7,6.9983912,-0.0031829448,0.0,0,11.076097,2.015882,-0.0001885902,89.125481,11.075667,23.553137,-9.4891548
0.8,6.9699578,-0.0030247024,0.0,0,11.076097,2.3158827,-0.00021614823,88.76107,11.076316,23.625172,-9.4895506
0.9,6.9439049,-0.0032175686,0.0,0,11.076097,2.6158812,-0.00019325562,88.424026,11.076672,23.630913,-9.4899206
1.0,6.9145002,-0.0032106917,0.0,0,11.076097,2.9158831,-0.00020524891,88.055061,11.076383,23.572361,-9.4899511
1.1,6.8910899,-0.0035301268,0.0,0,11.076097,3.2158816,-0.00023830088,87.759155,11.075901,23.652231,-9.4902782
1.2,6.8594165,-0.0032626307,0.0,0,11.076097,3.5158823,-0.00022220738,87.350983,11.075674,23.536861,-9.4902067
1.3,6.8401384,-0.0030715798,0.0,0,11.076097,3.8158824,-0.00022919902,87.120575,11.075846,23.567036,-9.4903278
1.4,6.8125043,-0.0033076413,0.0,0,11.076097,4.115881,-0.00020040528,86.775551,11.076083,23.594229,-9.4902563
1.5,6.801837,-0.0033148143,0.0,0,11.076097,4.4158835,-0.00022822012,86.637413,11.075326,23.5567,-9.4905262
1.6,6.7835784,-0.0036784634,0.0,0,11.076097,4.7158823,-0.00021408356,86.397491,11.076332,23.518467,-9.490489
1.7,6.7663498,-0.0036692473,0.0,0,11.076097,5.015882,-0.0002331229,86.166145,11.07579,23.539507,-9.4904194
1.8,6.7493916,-0.0036410941,0.0,0,11.076097,5.3158817,-0.00025077976,85.948509,11.076678,23.525333,-9.4909325
1.9,6.7294412,-0.0033708115,0.0,0,11.076097,5.615881,-0.00023039668,85.701042,11.076929,23.582273,-9.4907675
2.0,6.7104177,-0.0032060654,0.0,0,11.076097,5.9158831,-0.00023241786,85.468315,11.076294,23.548782,-9.4909916
2.1,6.6961708,-0.0035877742,0.0,0,11.076097,6.2158818,-0.00022549364,85.278206,11.076386,23.491617,-9.4913864
2.2,6.6780925,-0.0035944013,0.0,0,11.076097,6.515883,-0.00025175861,85.06073,11.075849,23.537102,-9.4913454
2.3,6.6691551,-0.0041851914,0.0,0,11.076097,6.8158832,-0.00024945816,84.952171,11.076673,23.567232,-9.4912043
2.4,6.6658683,-0.0036635315,0.0,0,11.076097,7.1158814,-0.00023477899,84.910637,11.076375,23.576256,-9.4914808
2.5,6.651154,-0.0040065916,0.0,0,11.076097,7.4158831,-0.00026996265,84.709267,11.075712,23.552351,-9.4911566
2.6,6.633853,-0.0039631617,0.0,0,11.076097,7.7158813,-0.00026153857,84.487961,11.076125,23.513298,-9.4912767
2.7,6.615118,-0.0038481783,0.0,0,11.076097,8.0158825,-0.00028211161,84.239891,11.076344,23.572754,-9.4909792
2.8,6.5940099,-0.0040365923,0.0,0,11.076097,8.3158836,-0.00025242372,83.975983,11.076283,23.519753,-9.4908047
2.9,6.5746741,-0.0039356062,0.0,0,11.076097,8.6158819,-0.00027805721,83.736656,11.077059,23.482435,-9.4903831
3.0,6.5643597,-0.0041592396,0.0,0,11.076097,8.9158821,-0.00024055228,83.617477,11.075846,23.533064,-9.4901276
3.1,6.5554824,-0.003988767,0.0,0,11.076097,9.2158813,-0.0002475724,83.502693,11.076429,23.533779,-9.4898434
3.2,6.5515409,-0.0041534812,0.0,0,11.076097,9.5158834,-0.00027432738,83.440804,11.076933,23.54353,-9.4894962
3.3,6.5406919,-0.0040002489,0.0,0,11.076097,9.8158817,-0.0002698176,83.313072,11.076615,23.462337,-9.4895201
3.4,6.5356097,-0.0042142179,0.0,0,11.076097,10.115881,-0.00030712367,83.243507,11.07639,23.554577,-9.4892378
3.5,6.5188589,-0.0042171562,0.0,0,11.076097,10.415883,-0.00026853834,83.026024,11.076573,23.476583,-9.488925
3.6,6.516067,-0.0039992803,0.0,0,11.076097,10.715881,-0.00028428802,82.97982,11.075728,23.55714,-9.4886332
3.7,6.5071449,-0.0043496322,0.0,0,11.076097,11.015882,-0.00025227419,82.870094,11.076306,23.523451,-9.4887419
3.8,6.4975533,-0.0042197718,0.0,0,11.076097,11.315882,-0.00026618299,82.758942,11.07616,23.555315,-9.4884109
3.9,6.4984078,-0.004121942,0.0,0,11.076097,11.615882,-0.00026955974,82.775742,11.075259,23.571373,-9.4884825
4.0,6.4967732,-0.0044107134,0.0,0,11.076097,11.915884,-0.00029205449,82.761505,11.075964,23.499233,-9.488452
4.1,6.4931655,-0.0043528727,0.0,0,11.076097,12.215882,-0.00031223358,82.704117,11.07498,23.528044,-9.4882975
4.2,6.4898071,-0.0046567456,0.0,0,11.076097,12.515882,-0.00030601013,82.647385,11.076464,23.531902,-9.4880724
4.3,6.4821982,-0.0043378994,0.0,0,11.076097,12.815883,-0.00030941278,82.548874,11.076123,23.537207,-9.4877253
4.4,6.473824,-0.0044305888,0.0,0,11.076097,13.115881,-0.00026274013,82.441887,11.075951,23.498009,-9.4878225
4.5,6.4673424,-0.0041096513,0.0,0,11.076097,13.415884,-0.00026299324,82.366753,11.076151,23.543043,-9.4875813
4.6,6.4634228,-0.0044482253,0.0,0,11.076097,13.715882,-0.0002961182,82.330742,11.075915,23.549862,-9.4876308
4.7,6.464489,-0.00426772,0.0,0,11.076097,14.015883,-0.00028031869,82.353203,11.077063,23.552956,-9.4876957
4.8,6.4595661,-0.0040487428,0.0,0,11.076097,14.315883,-0.00029781894,82.290573,11.077047,23.468697,-9.4872208
4.9,6.4626126,-0.0041017802,0.0,0,11.076097,14.615881,-0.00026667345,82.326309,11.075791,23.513273,-9.4873085
5.0,6.4621506,-0.0043829982,0.0,0,11.076097,14.915883,-0.00031089323,82.299324,11.075578,23.526148,-9.4871159
5.1,6.4577036,-0.0042871591,0.0,0,11.076097,15.215882,-0.00025477126,82.231239,11.076837,23.51115,-9.4869795
5.2,6.4496574,-0.0043497677,0.0,0,11.076097,15.515882,-0.00026958884,82.143112,11.076486,23.559021,-9.4868402
5.3,6.4489541,-0.0043272865,0.0,0,11.076097,15.815883,-0.00028611664,82.118973,11.07593,23.561775,-9.487112
5.4,6.4414129,-0.004209274,0.0,0,11.076097,16.115883,-0.00028295934,82.045647,11.075565,23.528975,-9.4868631
5.5,6.4370022,-0.0041415077,0.0,0,11.076097,16.41588,-0.0002946585,82.007446,11.076723,23.498604,-9.4863348
5.6,6.439435,-0.0043179174,0.0,0,11.076097,16.715883,-0.00027892709,82.022461,11.075997,23.564289,-9.486208
5.7,6.4399571,-0.0040446906,0.0,0,11.076097,17.015884,-0.00028654499,82.03022,11.075538,23.515732,-9.4860706
5.8,6.4425712,-0.0043077408,0.0,0,11.076097,17.315884,-0.00024554573,82.058533,11.075974,23.468458,-9.4859877
5.9,6.43782,-0.0044318135,0.0,0,11.076097,17.615885,-0.00028661857,81.979683,11.076558,23.5231,-9.4859476
6.0,6.4288464,-0.0046411827,0.0,0,11.076097,17.915882,-0.00030614898,81.874084,11.076198,23.554483,-9.4856968
6.1,6.4260478,-0.0041698436,0.0,0,11.076097,18.215883,-0.00027321209,81.849579,11.077932,23.556606,-9.4851742
6.2,6.423872,-0.0041090222,0.0,0,11.076097,18.515884,-0.00030073611,81.824532,11.076911,23.509653,-9.4849892
6.3,6.4283748,-0.0039839102,0.0,0,11.076097,18.815882,-0.00025944351,81.875237,11.07667,23.462259,-9.4847841
6.4,6.4293213,-0.0038244268,0.0,0,11.076097,19.115883,-0.00027965818,81.901726,11.075815,23.477661,-9.4851332
6.5,6.4376869,-0.0043723457,0.0,0,11.076097,19.415884,-0.00026187373,81.998825,11.076843,23.51923,-9.4851599
6.6,6.4342265,-0.0041157235,0.0,0,11.076097,19.715883,-0.00026279644,81.94043,11.076194,23.529501,-9.4848986
6.7,6.4280782,-0.0042533618,0.0,0,11.076097,20.015882,-0.00028246667,81.846626,11.076521,23.475803,-9.4843473
6.8,6.4281588,-0.0040880144,0.0,0,11.076097,20.315886,-0.00028041998,81.855347,11.075603,23.460369,-9.4841328
6.9,6.4190116,-0.0039332085,0.0,0,11.076097,20.615883,-0.00028916329,81.743683,11.075906,23.520899,-9.4838619
7.0,6.4200068,-0.004142723,0.0,0,11.076097,20.915886,-0.00026901442,81.756966,11.076984,23.497864,-9.4837751
7.1,6.4168735,-0.0038288578,0.0,0,11.076097,21.215881,-0.00027789525,81.732735,11.075678,23.470596,-9.4837475
7.2,6.4233632,-0.004319665,0.0,0,11.076097,21.515882,-0.00025500267,81.812813,11.076995,23.487036,-9.4836283
7.3,6.4240646,-0.0040483954,0.0,0,11.076097,21.815886,-0.00025762059,81.826439,11.076267,23.482548,-9.4833345
7.4,6.4228187,-0.0039129327,0.0,0,11.076097,22.115885,-0.0002536058,81.785782,11.075838,23.455271,-9.4828882
7.5,6.4257498,-0.0040748953,0.0,0,11.076097,22.415888,-0.00027252411,81.830231,11.0761,23.486776,-9.4826365
7.6,6.4274478,-0.0038853725,0.0,0,11.076097,22.715883,-0.00028366433,81.833,11.076024,23.498932,-9.4826727
7.7,6.4215059,-0.0041027451,0.0,0,11.076097,23.015888,-0.00027108306,81.780289,11.076918,23.529217,-9.4823093
7.8,6.4157,-0.0043736654,0.0,0,11.076097,23.315884,-0.00031086721,81.703087,11.075947,23.444895,-9.482583
7.9,6.4211545,-0.0042553348,0.0,0,11.076097,23.615883,-0.00025934103,81.77256,11.075985,23.466072,-9.4822712
8.0,6.4225683,-0.0040047048,0.0,0,11.076097,23.915886,-0.00026106491,81.796066,11.076417,23.523489,-9.4821234
8.1,6.4224186,-0.004120443,0.0,0,11.076097,24.215883,-0.00027071996,81.797386,11.076256,23.496759,-9.4816265
8.2,6.4300108,-0.0040167859,3.6383958,0,11.076097,24.515886,-0.00026259929,81.89241,11.075684,23.546219,-9.4815235
