Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
0.0,1.1665529,0.50458753,0.0,0,11.076097,0.0014212866,0.034207672,14.363219,11.077255,22.362825,-9.1358557
0.1,1.1615835,0.055212222,0.0,0,11.076097,0.21928972,0.0037215191,14.747855,11.076773,22.433704,-9.4658537
0.2,1.1563699,0.0060078134,0.0,0,11.076097,0.51573634,0.00039358495,14.717007,11.076407,22.39382,-9.4861288
0.3,1.1489271,0.0038659149,0.0,0,11.076097,0.81558186,0.0002408701,14.631356,11.076683,22.431244,-9.4877758
0.4,1.1444747,0.0039191074,0.0,0,11.076097,1.1155745,0.00025571598,14.56087,11.075703,22.426292,-9.4882889
0.5,1.1407815,0.0041852561,0.0,0,11.076097,1.4155757,0.00025674087,14.513695,11.0754,22.448757,-9.488471
0.6,1.1374424,0.0038989675,0.0,0,11.076097,1.7155741,0.00025526714,14.473155,11.076698,22.415607,-9.4884806
0.7,1.1300799,0.0041904296,0.0,0,11.076097,2.0155754,0.00025852249,14.387069,11.075917,22.394297,-9.4885092
0.8,1.1242545,0.0039153178,0.0,0,11.076097,2.3155746,0.00025880104,14.325111,11.075965,22.350218,-9.488554
0.9,1.1273395,0.0039199828,0.0,0,11.076097,2.6155744,0.00023896621,14.351673,11.076756,22.36565,-9.4889212
1.0,1.1151469,0.0039071976,0.0,0,11.076097,2.915576,0.00025407094,14.203631,11.076696,22.403179,-9.4882145
1.1,1.1105888,0.003844246,0.0,0,11.076097,3.2155743,0.00024070141,14.139643,11.077197,22.419422,-9.4876757
1.2,1.1071827,0.0039878264,0.0,0,11.076097,3.5155752,0.0002562179,14.096246,11.075776,22.396418,-9.4878798
1.3,1.0967535,0.0040591615,0.0,0,11.076097,3.8155749,0.00025075756,13.952988,11.075981,22.44639,-9.4871521
1.4,1.0913779,0.0036893245,0.0,0,11.076097,4.1155748,0.00023701492,13.894308,11.076385,22.36182,-9.4868698
1.5,1.0858153,0.0039670211,0.0,0,11.076097,4.4155755,0.00024810166,13.822634,11.076257,22.500694,-9.4867239
1.6,1.0836437,0.0036053839,0.0,0,11.076097,4.7155733,0.00023133862,13.791709,11.076853,22.387859,-9.4865646
1.7,1.0832069,0.0039563444,0.0,0,11.076097,5.0155759,0.00023932554,13.785442,11.075509,22.41036,-9.48633
1.8,1.0806133,0.0037190127,0.0,0,11.076097,5.3155751,0.0002376012,13.759896,11.077297,22.389753,-9.4862375
1.9,1.0754482,0.0040188069,0.0,0,11.076097,5.6155758,0.00024191913,13.698077,11.075727,22.414566,-9.4858398
2.0,1.0752487,0.0038053752,0.0,0,11.076097,5.915576,0.00024404767,13.692785,11.076348,22.363247,-9.4855204
2.1,1.0738177,0.0036748329,0.0,0,11.076097,6.2155738,0.00021517593,13.663828,11.076311,22.412249,-9.4850769
2.2,1.0726396,0.0035809777,0.0,0,11.076097,6.5155754,0.00023498134,13.645253,11.07598,22.30685,-9.4851122
2.3,1.0674888,0.0037226581,0.0,0,11.076097,6.8155751,0.00022321212,13.579697,11.07521,22.378172,-9.4849672
2.4,1.0695001,0.0036963704,0.0,0,11.076097,7.1155748,0.00024008092,13.615309,11.076472,22.431194,-9.4848719
2.5,1.0608168,0.0039580888,0.0,0,11.076097,7.4155765,0.00023669112,13.511273,11.077477,22.36688,-9.4849415
2.6,1.0660931,0.0033731034,0.0,0,11.076097,7.7155743,0.00022003031,13.579457,11.076455,22.381804,-9.4850273
2.7,1.0649389,0.0038832107,0.0,0,11.076097,8.0155764,0.00024035448,13.573787,11.076415,22.363007,-9.4847269
2.8,1.0599084,0.0035346632,0.0,0,11.076097,8.3155746,0.00023417629,13.489621,11.075929,22.449734,-9.4847012
2.9,1.0684364,0.0038009961,0.0,0,11.076097,8.6155739,0.00023705671,13.596863,11.076408,22.457466,-9.4847717
3.0,1.0697843,0.0035773269,0.0,0,11.076097,8.9155769,0.00023322705,13.617671,11.075798,22.423695,-9.4846067
3.1,1.0588855,0.0036513521,0.0,0,11.076097,9.2155733,0.00021515346,13.456235,11.075136,22.418278,-9.4843655
3.2,1.0626501,0.0038097615,0.0,0,11.076097,9.5155754,0.00024879148,13.516947,11.07577,22.348623,-9.4845448
3.3,1.0535027,0.0037185214,0.0,0,11.076097,9.8155756,0.00022418668,13.401604,11.07616,22.402109,-9.4845276
3.4,1.0508995,0.0035306171,0.0,0,11.076097,10.115575,0.00022835746,13.379629,11.076524,22.365116,-9.4844723
3.5,1.0488588,0.0036209163,0.0,0,11.076097,10.415576,0.00021439701,13.353575,11.076413,22.393301,-9.4841938
3.6,1.0472786,0.0035740642,0.0,0,11.076097,10.715573,0.00023596591,13.341814,11.077115,22.39039,-9.484211
3.7,1.04873,0.0036260081,0.0,0,11.076097,11.015577,0.00021125401,13.358702,11.075474,22.369635,-9.4837055
3.8,1.0410254,0.00361058,0.0,0,11.076097,11.315575,0.00022936502,13.245924,11.075744,22.424969,-9.4830952
3.9,1.0440807,0.0036143397,0.0,0,11.076097,11.615575,0.0002062967,13.296295,11.076273,22.453674,-9.4829302
4.0,1.0393884,0.0035743383,0.0,0,11.076097,11.915576,0.00022721832,13.226174,11.076661,22.429737,-9.4827023
4.1,1.0385849,0.0038833376,0.0,0,11.076097,12.215577,0.00023106024,13.201939,11.076024,22.453039,-9.4826937
4.2,1.0323299,0.003754745,0.0,0,11.076097,12.515576,0.00024255547,13.144006,11.075513,22.356089,-9.4825993
4.3,1.0331869,0.0037220242,0.0,0,11.076097,12.815575,0.00023137954,13.164599,11.075582,22.335213,-9.482317
4.4,1.029092,0.0031894797,0.0,0,11.076097,13.115575,0.00020483103,13.102031,11.07528,22.36569,-9.4823484
4.5,1.0271604,0.0034885616,0.0,0,11.076097,13.415578,0.0002026077,13.075131,11.076561,22.342096,-9.4820366
4.6,1.0348094,0.0035602495,0.0,0,11.076097,13.715575,0.00022765482,13.17356,11.075706,22.32091,-9.481988
4.7,1.0352033,0.0034237183,0.0,0,11.076097,14.015575,0.00021184028,13.186777,11.076383,22.384211,-9.4819832
4.8,1.0256864,0.0031850382,0.0,0,11.076097,14.315575,0.00020306176,13.054665,11.076344,22.375597,-9.4814329
4.9,1.0253016,0.003561388,0.0,0,11.076097,14.615575,0.00021828113,13.049718,11.075555,22.389339,-9.4811354
5.0,1.0195035,0.0031505965,0.0,0,11.076097,14.915577,0.00020107899,12.970335,11.076116,22.365412,-9.4808826
5.1,1.0243216,0.0035558182,0.0,0,11.076097,15.215573,0.00021487831,13.046366,11.07611,22.375153,-9.4808989
5.2,1.0215966,0.0034474588,0.0,0,11.076097,15.515575,0.00022671254,13.010632,11.075806,22.407818,-9.4806461
5.3,1.0175066,0.0037449088,0.0,0,11.076097,15.815578,0.00023538434,12.964907,11.076077,22.347242,-9.4805698
5.4,1.0173124,0.0034824947,0.0,0,11.076097,16.115574,0.00022971581,12.950055,11.075966,22.379866,-9.4805288
5.5,1.0160009,0.0032678177,0.0,0,11.076097,16.415579,0.00019553133,12.937263,11.076406,22.399567,-9.4802628
5.6,1.0166284,0.0034057873,0.0,0,11.076097,16.715576,0.00021268982,12.941753,11.075943,22.396473,-9.4802017
5.7,1.0160879,0.0032523796,0.0,0,11.076097,17.015575,0.00019377876,12.932412,11.075745,22.371674,-9.4800549
5.8,1.0149386,0.0031944299,0.0,0,11.076097,17.315577,0.00020590732,12.916321,11.0763,22.351202,-9.4797716
5.9,1.0076927,0.0033975593,0.0,0,11.076097,17.615576,0.00020540883,12.815238,11.076448,22.391481,-9.4792767
6.0,1.01018,0.0034715927,0.0,0,11.076097,17.915577,0.00022366886,12.849196,11.076278,22.433018,-9.4793596
6.1,1.0077306,0.0033490921,0.0,0,11.076097,18.215574,0.0001991132,12.818124,11.076111,22.398169,-9.4792519
6.2,1.00528,0.0032070088,0.0,0,11.076097,18.515574,0.00021011292,12.79077,11.076757,22.305712,-9.4789839
6.3,1.00781,0.0033979702,0.0,0,11.076097,18.815578,0.00020247529,12.83752,11.075018,22.353872,-9.4790964
6.4,1.0033028,0.0031216836,0.0,0,11.076097,19.115574,0.00019710556,12.778713,11.07586,22.341793,-9.4784956
