Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
0.0,1.0552019,0.33737478,0.0,0,11.076097,3.4595352e-05,0.02273833,13.129127,11.07618,12.125127,-9.1326036
0.1,1.0527537,0.029301105,0.0,0,11.076097,0.21923809,0.0019869693,13.367927,11.076824,12.134858,-9.4744253
0.2,1.0454104,0.00071088952,0.0,0,11.076097,0.51575691,3.3985081e-05,13.314453,11.075555,12.128164,-9.4949446
0.3,1.0465082,-0.00063225342,0.0,0,11.076097,0.81560761,-2.3190338e-05,13.339724,11.0769,12.180466,-9.4977684
0.4,1.0418804,-0.00061116164,0.0,0,11.076097,1.1156,-4.6114837e-05,13.265959,11.076028,12.150743,-9.4983492
0.5,1.0360423,-0.00045590053,0.0,0,11.076097,1.4155995,-6.0326631e-05,13.181569,11.076951,12.120732,-9.4984035
0.6,1.0356635,-0.00053089025,0.0,0,11.076097,1.7156008,-8.986668e-06,13.179811,11.076095,12.127421,-9.49891
0.7,1.0294085,-0.00039550365,0.0,0,11.076097,2.0156,-2.0134259e-05,13.102056,11.076279,12.184229,-9.4984226
0.8,1.0273038,-0.00037572448,0.0,0,11.076097,2.3156009,-3.4653702e-05,13.078837,11.076096,12.139647,-9.4986582
0.9,1.0206391,-0.00037822567,0.0,0,11.076097,2.6156003,-1.0434518e-05,13.00127,11.076591,12.121091,-9.4986515
1.0,1.0174259,-0.00031619653,0.0,0,11.076097,2.9156001,-3.7504589e-05,12.966856,11.075721,12.08566,-9.4983864
1.1,1.0102472,-0.00047776761,0.0,0,11.076097,3.215601,-2.079076e-05,12.868364,11.076049,12.091967,-9.4982176
1.2,1.0103741,-0.00045532346,0.0,0,11.076097,3.5156004,-3.5408935e-05,12.866568,11.076767,12.149549,-9.4979954
1.3,1.0026984,-0.00030330417,0.0,0,11.076097,3.8156011,-5.6905072e-05,12.771274,11.076025,12.147095,-9.4975615
1.4,1.0024238,-0.00038163667,0.0,0,11.076097,4.1156001,1.284065e-06,12.773518,11.076292,12.21215,-9.497654
1.5,0.99827725,-0.00035347985,0.0,0,11.076097,4.4156008,-2.0430663e-05,12.713964,11.075721,12.129401,-9.4970369
1.6,0.99243963,-0.00042896191,0.0,0,11.076097,4.7156005,-4.2001335e-05,12.635615,11.077043,12.149194,-9.4969158
1.7,0.99053115,-0.00056950713,0.0,0,11.076097,5.0156002,-2.5939955e-05,12.608904,11.076894,12.140034,-9.4965
1.8,0.98643684,-1.7555421e-06,0.0,0,11.076097,5.3156013,-4.7148005e-06,12.555682,11.076404,12.143445,-9.4962101
1.9,0.98145431,-0.0003438085,0.0,0,11.076097,5.6156015,-1.211481e-05,12.502942,11.076242,12.188729,-9.4957399
2.0,0.97593826,-0.00060153683,0.0,0,11.076097,5.9156003,-4.1057156e-05,12.419074,11.076584,12.170721,-9.4952726
