Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
0.0,1.5039455,-0.10881311,0.0,0,11.076097,0.00068862399,-0.0072072591,19.302454,11.076301,22.448359,-9.1223717
0.1,1.5025835,-0.015478441,0.0,0,11.076097,0.21958674,-0.0010512528,19.156836,11.076344,22.384439,-9.4659576
0.2,1.4978452,-0.0034781753,0.0,0,11.076097,0.51607651,-0.00019665276,19.07843,11.075962,22.376358,-9.4864025
0.3,1.4933966,-0.0024455031,0.0,0,11.076097,0.8159253,-0.00018547659,19.016752,11.075609,22.431072,-9.4887514
0.4,1.4925672,-0.0027716896,0.0,0,11.076097,1.1159177,-0.00016011467,19.005125,11.076001,22.412512,-9.4891186
0.5,1.4883577,-0.0022262647,0.0,0,11.076097,1.4159185,-0.00016576989,18.941662,11.075968,22.437918,-9.4892864
0.6,1.4822835,-0.0025884022,0.0,0,11.076097,1.7159177,-0.00014371904,18.878782,11.076136,22.402693,-9.4895372
0.7,1.4750835,-0.0022237781,0.0,0,11.076097,2.0159168,-0.00015529298,18.781483,11.076341,22.453737,-9.4897938
0.8,1.4664479,-0.0024458128,0.0,0,11.076097,2.315918,-0.00013273035,18.673599,11.075968,22.411911,-9.489521
0.9,1.4636691,-0.0024344733,0.0,0,11.076097,2.6159167,-0.00016428053,18.646748,11.075514,22.458967,-9.4893103
1.0,1.459945,-0.0025370799,0.0,0,11.076097,2.9159181,-0.00014158581,18.601124,11.075389,22.397051,-9.489027
1.1,1.4520926,-0.0022322363,0.0,0,11.076097,3.2159173,-0.00014703551,18.47987,11.075665,22.406807,-9.4891739
1.2,1.4483013,-0.0025828797,0.0,0,11.076097,3.5159168,-0.00015175418,18.446392,11.0767,22.462154,-9.4889956
1.3,1.4412088,-0.0023453701,0.0,0,11.076097,3.815918,-0.00014654275,18.353235,11.076371,22.328228,-9.4884415
1.4,1.4361075,-0.0025420645,0.0,0,11.076097,4.1159158,-0.00015239466,18.291115,11.076385,22.399614,-9.4881201
1.5,1.4313153,-0.0022607571,0.0,0,11.076097,4.4159184,-0.00014231383,18.223978,11.076283,22.406744,-9.4875879
1.6,1.4287418,-0.0027310986,0.0,0,11.076097,4.7159171,-0.00016694577,18.217684,11.076143,22.368746,-9.4873447
1.7,1.425071,-0.0024804508,0.0,0,11.076097,5.0159168,-0.00015776021,18.136168,11.075878,22.4408,-9.4870529
1.8,1.4225466,-0.0024958435,0.0,0,11.076097,5.315917,-0.00016503579,18.117514,11.075965,22.382515,-9.4868135
1.9,1.4157785,-0.0024334011,0.0,0,11.076097,5.6159163,-0.00015792059,18.025148,11.076181,22.395594,-9.486558
2.0,1.4120257,-0.0026839017,0.0,0,11.076097,5.9159169,-0.00017827922,17.976618,11.076466,22.381794,-9.4862919
2.1,1.4085217,-0.002461043,0.0,0,11.076097,6.2159166,-0.00016183262,17.94013,11.076363,22.394634,-9.4858847
2.2,1.4105824,-0.0023691333,0.0,0,11.076097,6.5159163,-0.00016151735,17.961571,11.075455,22.372784,-9.4855967
2.3,1.4098907,-0.0025076403,0.0,0,11.076097,6.8159165,-0.00016275121,17.950068,11.076151,22.404747,-9.4855413
2.4,1.4047096,-0.0022658887,0.0,0,11.076097,7.1159153,-0.00016176119,17.89139,11.076645,22.411678,-9.4855633
2.5,1.3976736,-0.0023806705,0.0,0,11.076097,7.4159169,-0.00015239723,17.804853,11.076247,22.354206,-9.4853983
2.6,1.4067984,-0.0023112115,0.0,0,11.076097,7.7159162,-0.00017638768,17.902994,11.076785,22.415451,-9.4853954
2.7,1.4058186,-0.0025490175,0.0,0,11.076097,8.0159159,-0.00017285868,17.90066,11.076261,22.443619,-9.4855099
2.8,1.4008847,-0.002321233,0.0,0,11.076097,8.315918,-0.00016539542,17.838169,11.07589,22.398926,-9.4851675
2.9,1.4033117,-0.0022569976,0.0,0,11.076097,8.6159172,-0.00015940079,17.868994,11.075954,22.419868,-9.4851542
3.0,1.3947558,-0.0021819989,0.0,0,11.076097,8.9159164,-0.00016540397,17.75095,11.076378,22.394943,-9.4850769
3.1,1.4064126,-0.0022231592,0.0,0,11.076097,9.2159138,-0.00015867513,17.903957,11.076447,22.41013,-9.4854794
3.2,1.3993466,-0.0022947104,0.0,0,11.076097,9.5159159,-0.00017433868,17.830435,11.076439,22.405804,-9.4851675
