level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
1972,1972,165.348,0.9739269,0.054304663,0.0,0,9.0629702,0.0,0.0035553174,11.259854,10.110188,361.5661,-9.2876406
1973,1973,165.3482,2.1519532,0.061642803,0.0,0,9.0337067,0.0,0.0037586149,23.507046,10.074147,361.56851,-9.2876434
1974,1974,165.3484,4.022541,0.084401734,0.0,0,9.0044422,0.0,0.0054679979,46.097275,10.045779,361.57092,-9.2874918
1975,1975,165.3486,5.4552464,0.1177513,0.0,0,8.9751787,0.0,0.007553013,65.867722,10.02562,361.57333,-9.2874966
1976,1976,165.3488,6.0664115,0.13570511,0.0,0,8.9459143,0.0,0.0086616939,75.501625,10.003862,361.57574,-9.2867489
1977,1977,165.349,6.2887797,0.15119675,0.0,0,8.9166508,0.0,0.010037258,78.780251,9.9739103,361.57816,-9.2847052
1978,1978,165.3492,6.5447378,0.18874045,0.0,0,8.8873863,0.0,0.012245959,81.515137,9.9375925,361.58057,-9.2831268
1979,1979,165.3494,6.7629957,0.24624269,0.0,0,8.8581219,0.0,0.015517083,84.437973,9.9014797,361.54205,-9.2821121
1980,1980,165.3496,6.7229505,0.30918843,0.0,0,8.8288584,0.0,0.020063849,84.151077,9.8635693,361.47626,-9.2814722
1981,1981,165.3498,6.713316,0.35582131,0.0,0,8.7995939,0.0,0.023645705,83.161087,9.8202591,361.41046,-9.2806797
1982,1982,165.35,7.0941076,0.37902325,0.0,0,8.7703304,0.0,0.025130004,86.867882,9.7751741,361.34467,-9.2808113
1983,1983,165.3502,7.4885941,0.40728363,0.0,0,8.7416534,0.0,0.027067708,92.05629,9.7291145,361.27884,-9.2816048
1984,1984,165.3504,7.5947895,0.45742649,0.0,0,8.7136879,0.0,0.030449603,93.655678,9.685914,361.21304,-9.2809973
1985,1985,165.3506,7.7223077,0.51158029,0.0,0,8.6858492,0.0,0.033876043,94.47406,9.6464663,361.14725,-9.2809477
1986,1986,165.3508,8.0188017,0.54128879,0.0,0,8.6580172,0.0,0.036361154,97.610291,9.6084013,361.08145,-9.2814713
1987,1987,165.351,8.1486511,0.54372227,0.0,0,8.6301851,0.0,0.037198301,99.77153,9.572978,361.01566,-9.2814837
1988,1988,165.3512,7.8947949,0.55521804,0.0,0,8.6023531,0.0,0.037380476,97.638062,9.5396729,360.94983,-9.2808771
1989,1989,165.3514,7.5760379,0.59374017,0.0,0,8.574522,0.0,0.039554678,93.36013,9.5095987,360.88403,-9.2808027
1990,1990,165.3516,7.6617451,0.64286822,0.0,0,8.546689,0.0,0.04339074,92.872826,9.4809179,360.81824,-9.2814713
1991,1991,165.3518,8.0781641,0.68332464,0.0,0,8.518857,0.0,0.046183854,97.115273,9.4504766,360.75244,-9.2819967
1992,1992,165.352,8.386982,0.69896841,0.0,0,8.4910259,0.0,0.047362763,101.19714,9.4189634,360.68665,-9.2820787
1993,1993,165.3522,8.4568796,0.70707542,0.0,0,8.4631929,0.0,0.048351157,102.51713,9.3865204,360.62082,-9.2808857
1994,1994,165.3524,8.4670181,0.74976397,0.0,0,8.4353609,0.0,0.050679486,102.46078,9.3499603,360.55502,-9.279624
1995,1995,165.3526,8.5096197,0.81490344,0.0,0,8.4075298,0.0,0.054647975,102.61741,9.3127222,360.48923,-9.2795658
1996,1996,165.3528,8.4763002,0.8659808,0.0,0,8.3796968,0.0,0.058913648,102.04698,9.274312,360.42343,-9.2799759
1997,1997,165.353,8.355258,0.90632057,0.0,0,8.3518648,0.0,0.061923463,100.38824,9.2362556,360.3576,-9.2812748
1998,1998,165.3532,8.2925186,0.94026715,0.0,0,8.3240337,0.0,0.06395141,99.213135,9.1964598,360.29181,-9.282424
1999,1999,165.3534,8.394021,0.96976829,0.0,0,8.2962017,0.0,0.066374168,99.834496,9.1549091,360.22601,-9.2820015
2000,2000,165.3536,8.5768986,1.0142374,0.0,0,8.2683697,0.0,0.069515653,101.5704,9.1144094,360.16022,-9.2815151
2001,2001,165.3538,8.6891909,1.0562726,0.0,0,8.2405376,0.0,0.072198771,102.74851,9.0771761,360.09442,-9.2814274
2002,2002,165.354,8.7175579,1.0711465,0.0,0,8.2127056,0.0,0.073844858,103.0242,9.042613,360.02859,-9.2814217
2003,2003,165.3542,8.7334137,1.0890198,0.0,0,8.1848736,0.0,0.075311281,103.11664,9.01015,359.9628,-9.2812233
2004,2004,165.3544,8.7589378,1.1223897,0.0,0,8.1570415,0.0,0.077043749,103.26768,8.9791365,359.897,-9.2806654
2005,2005,165.3546,8.7392397,1.1516985,0.0,0,8.1292095,0.0,0.079332098,102.92915,8.9467659,359.83121,-9.2804174
