level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
1872,1872,155.3437,0.61815524,0.057298113,0.0,0,9.0629702,0.0,0.0033447733,6.0777164,10.077232,343.5795,-9.3066301
1873,1873,155.3439,2.1021445,0.071905427,0.0,0,9.0337057,0.0,0.0044589369,22.083242,10.044208,343.92209,-9.3054523
1874,1874,155.3441,3.9884503,0.10576876,0.0,0,9.0044422,0.0,0.0067218179,45.726212,10.01852,344.26465,-9.3050251
1875,1875,155.3443,5.2496467,0.14050235,0.0,0,8.9751778,0.0,0.0087704547,63.51059,9.9920511,344.60724,-9.3046722
1876,1876,155.3445,5.808507,0.15103552,0.0,0,8.9459143,0.0,0.0099512814,72.087601,9.9625969,344.94983,-9.3032055
1877,1877,155.3447,6.0705962,0.17759815,0.0,0,8.9166498,0.0,0.01167113,75.681938,9.9257126,345.29239,-9.3020449
1878,1878,155.3449,6.4062109,0.24288239,0.0,0,8.8873854,0.0,0.015154202,79.503586,9.8814144,345.63498,-9.3012238
1879,1879,155.3451,6.6134472,0.3185038,0.0,0,8.8581219,0.0,0.020313749,82.193321,9.8390837,345.97754,-9.3006239
1880,1880,155.3453,6.5974865,0.38678604,0.0,0,8.8288574,0.0,0.025509877,81.998573,9.7938948,346.32013,-9.3003302
1881,1881,155.3455,6.7573051,0.42633149,0.0,0,8.7995939,0.0,0.02823774,82.965462,9.7456369,346.66269,-9.3004856
1882,1882,155.3457,7.1810646,0.4434973,0.0,0,8.7703295,0.0,0.029525287,87.707649,9.6939106,347.00528,-9.3011341
1883,1883,155.3459,7.4133635,0.48852307,0.0,0,8.7416534,0.0,0.03259122,91.036606,9.6439533,347.34784,-9.3011723
1884,1884,155.3461,7.4567642,0.55740726,0.0,0,8.7136869,0.0,0.036853272,91.323082,9.5986099,347.69043,-9.3007841
