level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
2254,2254,178.7248,0.59070021,0.075997181,0.0,0,9.9458637,0.0,0.0053253858,7.2451754,10.046249,401.18579,-9.264452
2255,2255,178.725,0.70692396,0.080546245,0.0,0,9.9428635,0.0,0.0053750421,8.5550356,10.043315,401.18759,-9.264163
2256,2256,178.7252,0.84596336,0.085273355,0.0,0,9.9398632,0.0,0.0054632979,10.317934,10.037325,401.18939,-9.2644176
2257,2257,178.7254,0.99239832,0.081895433,0.0,0,9.9368629,0.0,0.005661733,12.212948,10.032237,401.19119,-9.2646236
2258,2258,178.7256,1.1316653,0.087117389,0.0,0,9.9338636,0.0,0.00577504,14.000095,10.028696,401.19299,-9.2646341
2259,2259,178.7258,1.2718655,0.093705431,0.0,0,9.9308634,0.0,0.005891575,15.704049,10.025566,401.19482,-9.2647104
2260,2260,178.726,1.3989197,0.089852773,0.0,0,9.9278631,0.0,0.0060732849,17.384785,10.022768,401.19662,-9.2647295
2261,2261,178.7262,1.5130588,0.09223564,0.0,0,9.9248638,0.0,0.0062076771,18.884838,10.020458,401.19843,-9.2647247
2262,2262,178.7264,1.6223258,0.098009393,0.0,0,9.9218636,0.0,0.0061955289,20.307535,10.01866,401.20023,-9.2647829
2263,2263,178.7266,1.7210562,0.091987275,0.0,0,9.9188633,0.0,0.0061693047,21.624805,10.01515,401.20203,-9.2646885
2264,2264,178.7268,1.8116719,0.092999347,0.0,0,9.915864,0.0,0.0063307071,22.692995,10.01247,401.20386,-9.2646828
2265,2265,178.727,1.9004158,0.099732511,0.0,0,9.9128637,0.0,0.0063417284,23.760044,10.010959,401.20566,-9.2644176
2266,2266,178.7272,1.9971254,0.093326986,0.0,0,9.9098635,0.0,0.0062693125,24.961044,10.007047,401.20746,-9.2640572
2267,2267,178.7274,2.0883355,0.094284207,0.0,0,9.9068632,0.0,0.0065405485,26.14081,10.005321,401.20926,-9.2633276
2268,2268,178.7276,2.1705065,0.10187661,0.0,0,9.9038639,0.0,0.0065711932,27.230297,10.00455,401.21106,-9.2625618
2269,2269,178.7278,2.2581768,0.09715756,0.0,0,9.9008636,0.0,0.0063732048,28.363825,9.9985828,401.21289,-9.2626162
2270,2270,178.728,2.3511314,0.099217929,0.0,0,9.8978634,0.0,0.0067506675,29.530001,9.9938335,401.21469,-9.2627583
2271,2271,178.7282,2.4653461,0.10796592,0.0,0,9.8948631,0.0,0.0069666323,30.865074,9.9922752,401.21649,-9.2628508
2272,2272,178.7284,2.5923207,0.10444556,0.0,0,9.8918638,0.0,0.0068272492,32.427902,9.9911604,401.21829,-9.2628708
2273,2273,178.7286,2.7074053,0.10542798,0.0,0,9.8888636,0.0,0.0072252825,33.892101,9.9875422,401.22009,-9.26334
2274,2274,178.7288,2.8069434,0.11252598,0.0,0,9.8858633,0.0,0.007384493,35.186893,9.9852667,401.22192,-9.263937
2275,2275,178.729,2.8864374,0.10915933,0.0,0,9.882863,0.0,0.0071197064,36.296505,9.9812365,401.22372,-9.2637644
2276,2276,178.7292,2.9517879,0.10985595,0.0,0,9.8798637,0.0,0.007490553,37.116051,9.9756374,401.22552,-9.2632189
2277,2277,178.7294,3.0176826,0.11664053,0.0,0,9.8768635,0.0,0.0077427388,37.916569,9.9726734,401.22733,-9.2622194
2278,2278,178.7296,3.0795929,0.11467598,0.0,0,9.8738632,0.0,0.0074532293,38.790466,9.9706316,401.22913,-9.2621212
2279,2279,178.7298,3.1421623,0.11455271,0.0,0,9.870863,0.0,0.007768604,39.606781,9.9681864,401.23096,-9.2626123
2280,2280,178.73,3.2177358,0.11970273,0.0,0,9.8678637,0.0,0.0080617527,40.416565,9.9644222,401.23276,-9.261795
2281,2281,178.7302,3.3092039,0.11903226,0.0,0,9.8648634,0.0,0.0077633122,41.483982,9.9613104,401.23456,-9.2620602
2282,2282,178.7304,3.4006665,0.11916004,0.0,0,9.8618631,0.0,0.0080278413,42.645611,9.9578085,401.25562,-9.2625141
2283,2283,178.7306,3.4798431,0.12384021,0.0,0,9.8588629,0.0,0.0083984314,43.699459,9.9567289,401.2767,-9.2622557
2284,2284,178.7308,3.5438733,0.12497824,0.0,0,9.8558636,0.0,0.0081756376,44.546776,9.9550056,401.29776,-9.2630358
2285,2285,178.731,3.5900297,0.12579547,0.0,0,9.8528633,0.0,0.0084614512,45.163261,9.9520302,401.31885,-9.2628059
2286,2286,178.7312,3.6392324,0.12924691,0.0,0,9.849864,0.0,0.0088763144,45.800732,9.9494343,401.3399,-9.2624989
2287,2287,178.7314,3.6965172,0.13144946,0.0,0,9.8468628,0.0,0.0086771548,46.491249,9.9446096,401.36099,-9.2627716
2288,2288,178.7316,3.7553728,0.13350154,0.0,0,9.8438625,0.0,0.0089098234,47.192505,9.9413719,401.38205,-9.2622938
2289,2289,178.7318,3.8203762,0.13572119,0.0,0,9.8408632,0.0,0.0093225669,47.976353,9.9401627,401.40311,-9.2616806
2290,2290,178.732,3.8907681,0.13881724,0.0,0,9.8378639,0.0,0.0091668665,48.845135,9.9367571,401.42419,-9.2618799
2291,2291,178.7322,3.9590263,0.14106341,0.0,0,9.8348637,0.0,0.0092965588,49.720276,9.9351578,401.44525,-9.2618532
2292,2292,178.7324,4.0210133,0.14110209,0.0,0,9.8318634,0.0,0.0097047482,50.546124,9.9336185,401.46634,-9.2616558
2293,2293,178.7326,4.0758939,0.14566222,0.0,0,9.8288631,0.0,0.0096755791,51.248577,9.9295521,401.4874,-9.2614222
2294,2294,178.7328,4.1167288,0.15000378,0.0,0,9.8258638,0.0,0.0098399809,51.856869,9.9239273,401.50848,-9.2618923
2295,2295,178.733,4.143826,0.14921278,0.0,0,9.8228636,0.0,0.01023503,52.251987,9.921649,401.52954,-9.2630329
2296,2296,178.7332,4.1745043,0.15394199,0.0,0,9.8198633,0.0,0.010306796,52.601227,9.9211769,401.5506,-9.263382
2297,2297,178.7334,4.2191758,0.15824038,0.0,0,9.8168631,0.0,0.010418063,53.059174,9.9184656,401.57169,-9.2635946
2298,2298,178.7336,4.2641649,0.15607654,0.0,0,9.8138638,0.0,0.010673128,53.621651,9.9149656,401.59274,-9.2630501
2299,2299,178.7338,4.3053765,0.16141053,0.0,0,9.8108635,0.0,0.010782278,54.202847,9.9104147,401.61383,-9.2625208
2300,2300,178.734,4.3455987,0.16702266,0.0,0,9.8078632,0.0,0.010895247,54.74234,9.9081192,401.63489,-9.2624846
2301,2301,178.7342,4.3979917,0.16387171,0.0,0,9.804863,0.0,0.011139329,55.320229,9.9046621,401.65594,-9.2623186
2302,2302,178.7344,4.4507484,0.16882321,0.0,0,9.8018637,0.0,0.011349698,55.913578,9.9011631,401.67703,-9.2614155
2303,2303,178.7346,4.4794307,0.17692585,0.0,0,9.7988634,0.0,0.011507458,56.349224,9.8972387,401.69809,-9.2607822
