level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
1972,1972,165.3484,0.44321486,0.024256613,0.0,0,9.0629702,0.0,0.0016815994,4.7608452,10.106321,360.15503,-9.2895823
1973,1973,165.3486,1.40888,0.045331422,0.0,0,9.0337067,0.0,0.0024770594,14.769261,10.072214,360.27185,-9.2891188
1974,1974,165.3488,3.0472307,0.066672489,0.0,0,9.0044422,0.0,0.0040580686,34.153854,10.04432,360.3887,-9.2883749
1975,1975,165.349,4.5162997,0.095605873,0.0,0,8.9751787,0.0,0.0062709088,53.774101,10.015726,360.50555,-9.2880058
1976,1976,165.3492,5.3251891,0.1234983,0.0,0,8.9459143,0.0,0.0077787796,65.74115,9.9846611,360.62241,-9.2877607
1977,1977,165.3494,5.6128283,0.14417188,0.0,0,8.9166508,0.0,0.0091419257,70.353394,9.9496031,360.73923,-9.286437
1978,1978,165.3496,5.8598194,0.19545016,0.0,0,8.8873863,0.0,0.01254996,73.070984,9.9096823,360.85608,-9.2855835
1979,1979,165.3498,6.1619611,0.27363721,0.0,0,8.8581219,0.0,0.017248511,76.436852,9.8664331,360.97293,-9.285326
1980,1980,165.35,6.3559127,0.33408934,0.0,0,8.8288584,0.0,0.021562841,78.861031,9.8202105,361.08978,-9.2852793
1981,1981,165.3502,6.4968371,0.37850782,0.0,0,8.7995939,0.0,0.025268121,80.250412,9.7689333,361.20663,-9.2853613
1982,1982,165.3504,6.7532268,0.4228273,0.0,0,8.7703304,0.0,0.028022368,82.927849,9.7142582,361.32346,-9.2854424
1983,1983,165.3506,7.0007291,0.46887761,0.0,0,8.7416534,0.0,0.03086731,85.916931,9.6610537,361.44031,-9.2854586
1984,1984,165.3508,7.1754136,0.52340394,0.0,0,8.7136879,0.0,0.034981746,87.827255,9.6121511,361.55716,-9.2847252
1985,1985,165.351,7.4556522,0.56807286,0.0,0,8.6858492,0.0,0.03820499,90.679718,9.5636501,361.67401,-9.2841187
1986,1986,165.3512,7.6916022,0.58355552,0.0,0,8.6580172,0.0,0.0392453,93.830872,9.5210705,361.79083,-9.28337
1987,1987,165.3514,7.6182046,0.5984413,0.0,0,8.6301851,0.0,0.040573772,93.546463,9.4826946,361.90768,-9.2824202
1988,1988,165.3516,7.3552794,0.63556141,0.0,0,8.6023531,0.0,0.042932745,90.315674,9.4437933,362.02454,-9.2825117
1989,1989,165.3518,7.2922506,0.67768705,0.0,0,8.574522,0.0,0.045433022,88.676559,9.4080133,362.14139,-9.2832556
1990,1990,165.352,7.5533824,0.71087867,0.0,0,8.546689,0.0,0.048218839,90.847496,9.3724689,362.25824,-9.28403
1991,1991,165.3522,7.8325648,0.73569167,0.0,0,8.518857,0.0,0.050200701,94.199188,9.3373041,362.37506,-9.2841244
1992,1992,165.3524,7.9465537,0.75763011,0.0,0,8.4910259,0.0,0.051278651,95.915939,9.3019762,362.49191,-9.2839632
1993,1993,165.3526,8.0718679,0.79315639,0.0,0,8.4631929,0.0,0.053767029,97.095108,9.2648878,362.60876,-9.2838964
1994,1994,165.3528,8.2363338,0.84413284,0.0,0,8.4353609,0.0,0.057443496,98.77372,9.2264719,362.72562,-9.2831926
1995,1995,165.353,8.2013092,0.89531565,0.0,0,8.4075298,0.0,0.060679454,98.681458,9.1860991,362.84244,-9.2826138
1996,1996,165.3532,7.9450746,0.93958265,0.0,0,8.3796968,0.0,0.064012811,95.491974,9.1421967,362.95929,-9.2830572
1997,1997,165.3534,7.7972927,0.98049462,0.0,0,8.3518648,0.0,0.067301422,92.893837,9.0991869,363.07614,-9.2832298
1998,1998,165.3536,7.9426522,1.0257906,0.0,0,8.3240337,0.0,0.070040345,93.834755,9.0571651,363.19299,-9.2827406
1999,1999,165.3538,8.1485081,1.0682334,0.0,0,8.2962017,0.0,0.073104724,96.103958,9.015502,363.30984,-9.2826395
2000,2000,165.354,8.1679611,1.0993704,0.0,0,8.2683697,0.0,0.07598377,96.455536,8.974906,363.42667,-9.2829618
2001,2001,165.3542,8.1256399,1.1257544,0.0,0,8.2405376,0.0,0.077645272,95.679718,8.938365,363.54352,-9.2832546
2002,2002,165.3544,8.2558222,1.1450454,0.0,0,8.2127056,0.0,0.078864023,96.714462,8.9060841,363.66037,-9.2835903
2003,2003,165.3546,8.4501038,1.1620431,0.0,0,8.1848736,0.0,0.080564164,98.885208,8.8734598,363.77722,-9.2837896
