level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
1873,1873,155.3485,0.4504846,0.037800841,0.0,0,9.0337067,0.0,0.0022790064,4.6078897,10.072439,341.64557,-9.3062315
1874,1874,155.3487,1.6605219,0.052280579,0.0,0,9.0044422,0.0,0.0034375014,17.103148,10.0332,341.69907,-9.306489
1875,1875,155.3489,3.5068355,0.084958225,0.0,0,8.9751787,0.0,0.0051705572,39.623093,10.00783,341.75253,-9.3067665
1876,1876,155.3491,4.8839135,0.10576282,0.0,0,8.9459143,0.0,0.0065788645,58.916485,9.9823122,341.80603,-9.3060589
1877,1877,155.3493,5.491715,0.12311125,0.0,0,8.9166508,0.0,0.0082249744,68.236649,9.9494028,341.8595,-9.3054647
1878,1878,155.3495,5.7699184,0.15575269,0.0,0,8.8873863,0.0,0.0099954037,71.957779,9.9109278,342.0083,-9.3047056
1879,1879,155.3497,6.2140441,0.20413327,0.0,0,8.8581219,0.0,0.012702462,76.757835,9.8715811,342.1571,-9.3036232
1880,1880,155.3499,6.6887832,0.27107275,0.0,0,8.8288584,0.0,0.017458787,82.681175,9.8304977,342.30591,-9.3028278
1881,1881,155.3501,6.8640771,0.33860567,0.0,0,8.7995939,0.0,0.022126049,85.258949,9.7818241,342.45471,-9.3022022
1882,1882,155.3503,6.9631124,0.38717377,0.0,0,8.7703304,0.0,0.025275068,86.002846,9.7282104,342.60352,-9.3012753
1883,1883,155.3505,7.3129191,0.43453133,0.0,0,8.7416534,0.0,0.028778918,89.340393,9.6763144,342.75232,-9.3008137
1884,1884,155.3507,7.6440926,0.49325612,0.0,0,8.7136879,0.0,0.03280795,93.367905,9.6222887,342.90112,-9.3011122
1885,1885,155.3509,7.8199048,0.54675311,0.0,0,8.6858492,0.0,0.036191836,95.610519,9.5675039,343.04993,-9.3013906
1886,1886,155.3511,8.062726,0.58403832,0.0,0,8.6580172,0.0,0.039248202,98.043091,9.5184832,343.19873,-9.3013077
1887,1887,155.3513,8.2799597,0.6082409,0.0,0,8.6301851,0.0,0.041333325,100.77047,9.4730806,343.34753,-9.3000669
1888,1888,155.3515,8.2355795,0.62935299,0.0,0,8.6023531,0.0,0.042395692,100.76181,9.4322681,343.49634,-9.2994318
1889,1889,155.3517,8.0785103,0.65837699,0.0,0,8.574522,0.0,0.044429798,98.68985,9.3945303,343.64514,-9.2999163
1890,1890,155.3519,8.1274214,0.69446254,0.0,0,8.546689,0.0,0.047154054,98.384911,9.3561602,343.79395,-9.300456
1891,1891,155.3521,8.3505716,0.729936,0.0,0,8.518857,0.0,0.049209323,100.65448,9.3206921,343.94275,-9.3010454
1892,1892,155.3523,8.5197964,0.75679612,0.0,0,8.4910259,0.0,0.051238775,102.71066,9.2872419,344.09155,-9.300601
1893,1893,155.3525,8.6425095,0.78236306,0.0,0,8.4631929,0.0,0.053447381,103.98528,9.2516031,344.24036,-9.2999992
1894,1894,155.3527,8.8357105,0.82205719,0.0,0,8.4353609,0.0,0.055622552,106.04155,9.2128553,344.38916,-9.2997169
1895,1895,155.3529,8.968276,0.87191099,0.0,0,8.4075298,0.0,0.058910627,107.50198,9.1748428,344.53796,-9.2989988
1896,1896,155.3531,8.8555403,0.92365777,0.0,0,8.3796968,0.0,0.063105345,106.2708,9.1363554,344.68677,-9.2983294
1897,1897,155.3533,8.6140823,0.97810566,0.0,0,8.3518648,0.0,0.066691674,103.149,9.0920458,344.83557,-9.2989407
1898,1898,155.3535,8.5979948,1.0241641,0.0,0,8.3240337,0.0,0.069821127,101.93307,9.0473003,344.98438,-9.2999249
1899,1899,155.3537,8.8133516,1.0604309,0.0,0,8.2962017,0.0,0.073026352,103.74637,9.0020914,345.13315,-9.3000555
1900,1900,155.3539,8.9252253,1.1048021,0.0,0,8.2683697,0.0,0.075954475,105.13313,8.9587688,345.28195,-9.2998543
1901,1901,155.3541,8.9000883,1.1449699,0.0,0,8.2405376,0.0,0.078551725,104.83933,8.9197397,345.43076,-9.3006353
1902,1902,155.3543,8.9691629,1.1650121,0.0,0,8.2127056,0.0,0.080740772,105.07688,8.8819675,345.57956,-9.3006649
1903,1903,155.3545,9.1600409,1.1873049,0.0,0,8.1848736,0.0,0.082298607,106.98129,8.8454494,345.72836,-9.2999058
1904,1904,155.3547,9.224206,1.2154232,0.0,0,8.1570415,0.0,0.083764903,108.07026,8.8123674,345.87717,-9.2998199
1905,1905,155.3549,9.0755415,1.2379665,0.0,0,8.1292095,0.0,0.085838392,106.48215,8.7825251,346.02597,-9.2992592
1906,1906,155.3551,8.9669418,1.2705413,0.0,0,8.1013775,0.0,0.088240378,104.70089,8.7549114,346.17477,-9.2991304
1907,1907,155.3553,9.086298,1.3043749,0.0,0,8.0735455,0.0,0.090166993,105.36023,8.7251472,346.32358,-9.2996101
1908,1908,155.3555,9.285511,1.3225211,0.0,0,8.0462685,0.0,0.091942474,107.4315,8.6945047,346.47238,-9.2996902
1909,1909,155.3557,9.3701019,1.3527589,0.0,0,8.0196619,0.0,0.094255678,108.51334,8.664669,346.62119,-9.2991152
1910,1910,155.3559,9.3861179,1.3959059,0.0,0,7.993176,0.0,0.096743368,108.46075,8.6321735,346.76999,-9.2990875
1911,1911,155.3561,9.4407272,1.4295908,0.0,0,7.9666953,0.0,0.099528275,108.62749,8.5994129,346.91879,-9.2989683
1912,1912,155.3563,9.4702339,1.4715991,0.0,0,7.9402156,0.0,0.10295055,108.77847,8.5653181,347.0676,-9.2982693
1913,1913,155.3565,9.3954964,1.5177044,0.0,0,7.9137359,0.0,0.10583724,107.87376,8.5287886,347.2164,-9.2983894
1914,1914,155.3567,9.2897053,1.5477393,0.0,0,7.8872557,0.0,0.10825188,106.31407,8.4931631,347.3652,-9.299119
1915,1915,155.3569,9.2767925,1.581854,0.0,0,7.8607755,0.0,0.11122178,105.67107,8.4593306,347.51401,-9.3002005
1916,1916,155.3571,9.3512659,1.618475,0.0,0,7.8342957,0.0,0.11352132,106.13718,8.4264154,347.66281,-9.3002777
1917,1917,155.3573,9.4195442,1.6358616,0.0,0,7.8078156,0.0,0.11494995,106.73818,8.3944769,347.81161,-9.2998686
1918,1918,155.3575,9.4730759,1.6529917,0.0,0,7.7813354,0.0,0.11678716,107.20914,8.3651114,347.96042,-9.2991371
1919,1919,155.3577,9.5408087,1.6783789,0.0,0,7.7548552,0.0,0.11827559,107.76054,8.3379192,348.10922,-9.2990303
1920,1920,155.3579,9.5852213,1.6962529,0.0,0,7.7283754,0.0,0.11942944,108.20861,8.3102417,348.25803,-9.2994652
1921,1921,155.3581,9.5616522,1.719159,0.0,0,7.7018952,0.0,0.12163906,107.84518,8.2837448,348.40683,-9.2993307
1922,1922,155.3583,9.5112314,1.7492253,0.0,0,7.675415,0.0,0.12370993,107.08249,8.2604961,348.55563,-9.2990036
1923,1923,155.3585,9.5460033,1.7679092,0.0,0,7.6489348,0.0,0.12481368,107.13313,8.237525,348.70444,-9.29914
1924,1924,155.3587,9.6665478,1.7877175,0.0,0,7.6224551,0.0,0.12676822,108.15469,8.2133799,348.85321,-9.2997122
