level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
1872,1872,155.3437,0.954175,0.0078465901,0.0,0,9.0629625,0.0,0.00041126678,10.751819,10.107893,330.16354,-9.3063345
1873,1873,155.3439,2.144124,0.015538523,0.0,0,9.033699,0.0,0.00065147923,23.427727,10.075424,330.22278,-9.3056784
1874,1874,155.3441,4.0801554,0.037278421,0.0,0,9.0044346,0.0,0.0023214717,46.63554,10.050154,330.28201,-9.3045187
1875,1875,155.3443,5.8520122,0.068055086,0.0,0,8.9751711,0.0,0.0042504827,70.168724,10.031143,330.34125,-9.3036652
1876,1876,155.3445,6.8228812,0.083553277,0.0,0,8.9459066,0.0,0.005226416,84.609131,10.009466,330.40048,-9.3027773
1877,1877,155.3447,7.1886735,0.099053793,0.0,0,8.9166431,0.0,0.0065346523,90.390419,9.9777689,330.45972,-9.3011618
1878,1878,155.3449,7.4476724,0.13775234,0.0,0,8.8873787,0.0,0.0087726796,93.335823,9.9400883,330.51895,-9.3002462
1879,1879,155.3451,7.7165461,0.19400059,0.0,0,8.8581142,0.0,0.011928546,96.43084,9.9051476,330.57819,-9.3004541
1880,1880,155.3453,7.8606353,0.25224444,0.0,0,8.8288507,0.0,0.016257871,98.201691,9.8709135,330.63742,-9.3004065
1881,1881,155.3455,7.9807649,0.29311422,0.0,0,8.7995863,0.0,0.019476527,99.243645,9.8316498,330.69666,-9.300704
1882,1882,155.3457,8.3248978,0.31160256,0.0,0,8.7703228,0.0,0.020555209,102.87985,9.7879295,330.75589,-9.3010025
1883,1883,155.3459,8.716136,0.33770844,0.0,0,8.7416468,0.0,0.022364993,107.65667,9.7427158,330.81512,-9.3010874
1884,1884,155.3461,8.956995,0.38901505,0.0,0,8.7136803,0.0,0.025755411,110.6568,9.7000904,330.87436,-9.3008251
1885,1885,155.3463,9.1917601,0.44289613,0.0,0,8.6858425,0.0,0.029136943,113.0824,9.6615124,330.93359,-9.2994728
1886,1886,155.3465,9.4777746,0.47148183,0.0,0,8.6580105,0.0,0.031627379,116.28967,9.6243343,330.99283,-9.2978258
1887,1887,155.3467,9.5888767,0.47565505,0.0,0,8.6301785,0.0,0.032501649,118.12323,9.5880356,331.05206,-9.296936
1888,1888,155.3469,9.4000177,0.49002674,0.0,0,8.6023464,0.0,0.032814715,116.4557,9.5534525,331.1113,-9.2969713
1889,1889,155.3471,9.1691275,0.53236139,0.0,0,8.5745144,0.0,0.035290327,113.09669,9.5222521,331.17053,-9.2971039
1890,1890,155.3473,9.2484503,0.58592671,0.0,0,8.5466824,0.0,0.039369594,112.58132,9.4927931,331.22977,-9.2976494
1891,1891,155.3475,9.6330433,0.62655532,0.0,0,8.5188503,0.0,0.042161733,116.49522,9.4629068,331.289,-9.298439
1892,1892,155.3477,9.9949818,0.64001179,0.0,0,8.4910183,0.0,0.043279927,121.09178,9.4287949,331.34824,-9.2982817
1893,1893,155.3479,10.153312,0.64742625,0.0,0,8.4631863,0.0,0.044172134,123.38485,9.3918953,331.4075,-9.2975655
1894,1894,155.3481,10.18326,0.6877895,0.0,0,8.4353542,0.0,0.046318203,123.72627,9.3574924,331.46674,-9.2971087
1895,1895,155.3483,10.181627,0.74931085,0.0,0,8.4075222,0.0,0.050175183,123.28225,9.3218498,331.52597,-9.2963858
1896,1896,155.3485,10.136705,0.79827964,0.0,0,8.3796902,0.0,0.054269779,122.32807,9.2824831,331.58521,-9.2964211
1897,1897,155.3487,10.035508,0.83559191,0.0,0,8.3518581,0.0,0.056989044,120.85711,9.241334,331.64444,-9.2962532
1898,1898,155.3489,10.000803,0.86554283,0.0,0,8.3240261,0.0,0.058698297,120.03154,9.2016335,331.70367,-9.2956362
1899,1899,155.3491,10.132652,0.8943342,0.0,0,8.2961941,0.0,0.061000515,120.92757,9.1626101,331.76291,-9.2957315
1900,1900,155.3493,10.33114,0.93979418,0.0,0,8.268362,0.0,0.064120367,122.86783,9.1244421,331.82214,-9.2964096
1901,1901,155.3495,10.490261,0.98225838,0.0,0,8.24053,0.0,0.066826776,124.62631,9.0895452,331.88138,-9.2966213
1902,1902,155.3497,10.585655,0.99757957,0.0,0,8.2126989,0.0,0.068611637,125.67995,9.0535393,331.94061,-9.2965384
1903,1903,155.3499,10.649278,1.0162458,0.0,0,8.1848669,0.0,0.070069149,126.27889,9.0198612,331.99985,-9.2966137
1904,1904,155.3501,10.667793,1.0492945,0.0,0,8.1570339,0.0,0.071734518,126.42876,8.9908314,332.05908,-9.2967319
1905,1905,155.3503,10.609524,1.0795366,0.0,0,8.1292028,0.0,0.074082129,125.67136,8.9591913,332.11832,-9.2968531
1906,1906,155.3505,10.538364,1.1168097,0.0,0,8.1013708,0.0,0.077065095,124.38232,8.9272699,332.17755,-9.2967691
1907,1907,155.3507,10.577988,1.1509355,0.0,0,8.0735378,0.0,0.079194054,124.21748,8.8963718,332.23679,-9.2964363
1908,1908,155.3509,10.767479,1.1674505,0.0,0,8.0462608,0.0,0.080586545,125.94424,8.8648891,332.29602,-9.2963486
1909,1909,155.3511,10.990572,1.1963128,0.0,0,8.0196552,0.0,0.082936272,128.28818,8.8344288,332.35526,-9.295866
1910,1910,155.3513,11.102272,1.2409127,0.0,0,7.9931693,0.0,0.085593864,129.57678,8.799736,332.41449,-9.2954588
1911,1911,155.3515,11.063097,1.2760813,0.0,0,7.9666886,0.0,0.088164225,129.13828,8.7631006,332.47751,-9.2958241
1912,1912,155.3517,10.995275,1.313201,0.0,0,7.9402089,0.0,0.09133897,127.95808,8.728076,332.5556,-9.2953653
1913,1913,155.3519,10.989105,1.3532583,0.0,0,7.9137292,0.0,0.093947046,127.39841,8.6949034,332.63373,-9.2957439
1914,1914,155.3521,11.025032,1.3815278,0.0,0,7.887249,0.0,0.095939972,127.53542,8.6614561,332.71185,-9.2966814
1915,1915,155.3523,11.056026,1.4153475,0.0,0,7.8607688,0.0,0.098825045,127.51915,8.6266909,332.78995,-9.2967901
1916,1916,155.3525,11.087709,1.4554895,0.0,0,7.8342891,0.0,0.10154247,127.4339,8.5899105,332.86807,-9.2967453
1917,1917,155.3527,11.179539,1.4797401,0.0,0,7.8078089,0.0,0.10323594,128.11266,8.5522852,332.94617,-9.2967005
1918,1918,155.3529,11.309092,1.4995322,0.0,0,7.7813287,0.0,0.10523876,129.24911,8.5200148,333.02429,-9.2968178
1919,1919,155.3531,11.383976,1.5277578,0.0,0,7.7548485,0.0,0.10718489,130.10037,8.4893064,333.10239,-9.2965126
1920,1920,155.3533,11.374548,1.556601,0.0,0,7.7283688,0.0,0.10884293,130.03558,8.4564171,333.18051,-9.2965431
1921,1921,155.3535,11.331391,1.5906223,0.0,0,7.7018886,0.0,0.11169346,129.13754,8.4271221,333.25861,-9.2964926
1922,1922,155.3537,11.342711,1.6279206,0.0,0,7.6754084,0.0,0.11459558,128.70761,8.3971949,333.33673,-9.2962742
1923,1923,155.3539,11.438826,1.6536654,0.0,0,7.6489282,0.0,0.11622123,129.47551,8.3676939,333.41486,-9.295969
1924,1924,155.3541,11.563705,1.6744055,0.0,0,7.6224484,0.0,0.11808483,130.64568,8.3403511,333.49295,-9.2959347
1925,1925,155.3543,11.632166,1.7030257,0.0,0,7.5959687,0.0,0.12033641,131.18985,8.3110094,333.57108,-9.2964106
1926,1926,155.3545,11.641873,1.7388785,0.0,0,7.5694885,0.0,0.12246656,131.11798,8.28127,333.64917,-9.2966328
1927,1927,155.3547,11.648863,1.7771856,0.0,0,7.5430083,0.0,0.12547687,130.79173,8.2486887,333.72729,-9.2970972
1928,1928,155.3549,11.682508,1.8109832,0.0,0,7.5165286,0.0,0.12849362,130.71936,8.2159996,333.80539,-9.2969494
1929,1929,155.3551,11.727082,1.8401091,0.0,0,7.4900489,0.0,0.13029693,130.98564,8.1857433,333.88351,-9.2963791
1930,1930,155.3553,11.73388,1.8673459,0.0,0,7.4635687,0.0,0.1323701,130.88435,8.1535969,333.96161,-9.2955456
1931,1931,155.3555,11.734321,1.898001,0.0,0,7.4370885,0.0,0.13517453,130.52002,8.118948,334.03973,-9.2953634
1932,1932,155.3557,11.783826,1.934689,0.0,0,7.4106083,0.0,0.13749819,130.60168,8.0868797,334.11786,-9.295599
1933,1933,155.3559,11.876554,1.9620519,0.0,0,7.3846598,0.0,0.13954122,131.2084,8.0575523,334.19595,-9.29566
1934,1934,155.3561,11.953671,1.9780457,0.0,0,7.3593545,0.0,0.14148663,131.90396,8.025485,334.27408,-9.2957611
1935,1935,155.3563,11.968519,2.003408,0.0,0,7.3341656,0.0,0.14305551,132.11008,7.9927497,334.35217,-9.2961178
1936,1936,155.3565,11.947868,2.0346622,0.0,0,7.3089814,0.0,0.14505351,131.62411,7.9654169,334.4303,-9.2967825
1937,1937,155.3567,11.953753,2.0627081,0.0,0,7.2837973,0.0,0.14775963,131.19608,7.9374309,334.50839,-9.2975025
1938,1938,155.3569,11.993144,2.0967147,0.0,0,7.2586136,0.0,0.15018621,131.27008,7.9083085,334.58652,-9.2975492
1939,1939,155.3571,12.03801,2.1236987,0.0,0,7.2334294,0.0,0.15196274,131.52647,7.8831868,334.66464,-9.2969999
