level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
2250,2250,178.706,0.82937688,0.021168076,0.0,0,9.9578638,0.0,0.0013554476,10.304692,10.060843,399.84454,-9.2643452
2251,2251,178.7062,0.96576387,0.021174327,0.0,0,9.9548635,0.0,0.0016351509,12.07895,10.05854,399.88373,-9.2637758
2252,2252,178.7064,1.1187288,0.023914609,0.0,0,9.9518633,0.0,0.0014857429,13.943944,10.055654,399.92294,-9.2631903
2253,2253,178.7066,1.2690347,0.025998022,0.0,0,9.948863,0.0,0.0015609647,15.803116,10.053741,399.96216,-9.2626171
2254,2254,178.7068,1.396757,0.02395164,0.0,0,9.9458637,0.0,0.0018557771,17.507593,10.050593,400.00137,-9.2624254
2255,2255,178.707,1.5097663,0.027379707,0.0,0,9.9428635,0.0,0.0018436606,18.975504,10.04609,400.04059,-9.2622299
2256,2256,178.7072,1.6226119,0.030669218,0.0,0,9.9398632,0.0,0.0018712365,20.335398,10.044611,400.07977,-9.2623463
2257,2257,178.7074,1.7217067,0.027964557,0.0,0,9.9368629,0.0,0.002066737,21.536036,10.041673,400.11899,-9.2630711
2258,2258,178.7076,1.8038697,0.031569775,0.0,0,9.9338636,0.0,0.0020970155,22.624777,10.038035,400.1582,-9.2626247
2259,2259,178.7078,1.8922797,0.035158809,0.0,0,9.9308634,0.0,0.0021087374,23.79937,10.035492,400.19742,-9.2627916
2260,2260,178.708,1.9937394,0.029964946,0.0,0,9.9278631,0.0,0.0021954647,25.108593,10.033696,400.2366,-9.2633352
2261,2261,178.7082,2.1044183,0.032285336,0.0,0,9.9248638,0.0,0.0022029567,26.503931,10.030263,400.27582,-9.2631397
2262,2262,178.7084,2.2196352,0.037451472,0.0,0,9.9218636,0.0,0.0021887706,27.88526,10.026282,400.31503,-9.2620497
2263,2263,178.7086,2.3431828,0.032464594,0.0,0,9.9188633,0.0,0.0022670021,29.426207,10.023136,400.35425,-9.2612619
2264,2264,178.7088,2.4747636,0.035341784,0.0,0,9.915864,0.0,0.0023892219,31.081015,10.022175,400.39343,-9.2615261
2265,2265,178.709,2.6160843,0.042484399,0.0,0,9.9128637,0.0,0.0024305964,32.839577,10.019492,400.43265,-9.2615833
2266,2266,178.7092,2.7565377,0.036672071,0.0,0,9.9098635,0.0,0.0024499535,34.675472,10.015618,400.47186,-9.2621202
2267,2267,178.7094,2.8998196,0.037623744,0.0,0,9.9068632,0.0,0.0026415957,36.417702,10.013553,400.51108,-9.2624159
2268,2268,178.7096,3.042392,0.043724593,0.0,0,9.9038639,0.0,0.00263593,38.2117,10.010385,400.55029,-9.262619
2269,2269,178.7098,3.1664593,0.037285559,0.0,0,9.9008636,0.0,0.0024947342,39.849892,10.00795,400.58948,-9.2622032
2270,2270,178.71,3.291256,0.038275406,0.0,0,9.8978634,0.0,0.0027619542,41.464329,10.004864,400.62869,-9.2614832
2271,2271,178.7102,3.4171662,0.045108613,0.0,0,9.8948631,0.0,0.0028103634,43.111996,10.001117,400.66791,-9.2616034
2272,2272,178.7104,3.5319469,0.040583264,0.0,0,9.8918638,0.0,0.0026210432,44.565826,9.9996386,400.70712,-9.2616053
2273,2273,178.7106,3.6419866,0.04177206,0.0,0,9.8888636,0.0,0.0029794115,45.967995,9.9960194,400.74631,-9.2616262
2274,2274,178.7108,3.7627745,0.049010083,0.0,0,9.8858633,0.0,0.0031003086,47.476177,9.9906321,400.78552,-9.2615519
