level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
2262,2262,178.7098,1.3446161,0.023126272,0.0,0,9.9218636,0.0,0.0014041978,16.765459,10.017121,400.12747,-9.2656975
2263,2263,178.71,1.4634519,0.023991276,0.0,0,9.9188633,0.0,0.0016205547,18.31962,10.014396,400.12866,-9.2657309
2264,2264,178.7102,1.5907633,0.026014555,0.0,0,9.915864,0.0,0.0019291121,19.937618,10.012774,400.12988,-9.2661829
2265,2265,178.7104,1.7214735,0.027166404,0.0,0,9.9128637,0.0,0.0016981764,21.563194,10.008635,400.13107,-9.2663269
2266,2266,178.7106,1.8557218,0.028143125,0.0,0,9.9098635,0.0,0.0018092456,23.211288,10.001852,400.13229,-9.2661161
2267,2267,178.7108,1.9883447,0.027911402,0.0,0,9.9068632,0.0,0.0020339747,24.893877,9.997468,400.13348,-9.266531
2268,2268,178.711,2.1055596,0.029482799,0.0,0,9.9038639,0.0,0.001849818,26.46163,9.9967747,400.1347,-9.2664642
2269,2269,178.7112,2.2029951,0.031494338,0.0,0,9.9008636,0.0,0.0019272664,27.8298,9.9960604,400.13589,-9.2661819
2270,2270,178.7114,2.2932913,0.029142825,0.0,0,9.8978634,0.0,0.0021862858,28.985346,9.9947538,400.13708,-9.2659531
2271,2271,178.7116,2.3857663,0.03156906,0.0,0,9.8948631,0.0,0.002050369,30.113384,9.9934597,400.13831,-9.2649965
2272,2272,178.7118,2.4804661,0.03426145,0.0,0,9.8918638,0.0,0.0020510748,31.338064,9.9886856,400.1395,-9.2643204
2273,2273,178.712,2.5857844,0.030623376,0.0,0,9.8888636,0.0,0.0022382999,32.609283,9.9836283,400.14072,-9.2645664
2274,2274,178.7122,2.7018631,0.033547524,0.0,0,9.8858633,0.0,0.0022322643,34.015434,9.9818039,400.14191,-9.264576
2275,2275,178.7124,2.830302,0.036378905,0.0,0,9.882863,0.0,0.0022603613,35.643074,9.9784279,400.14313,-9.2649689
2276,2276,178.7126,2.9750366,0.032077417,0.0,0,9.8798637,0.0,0.0023694935,37.446121,9.9760971,400.14432,-9.2657318
