level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
2106,2106,178.6805,0.51967883,0.08861585,0.0,0,9.0337067,0.0,0.0056831776,5.6517372,10.072257,418.41046,-9.2663441
2107,2107,178.6807,1.2618669,0.11417864,0.0,0,9.0044422,0.0,0.0074553257,13.717903,10.043336,418.43448,-9.2653999
2108,2108,178.6809,2.4400666,0.14440204,0.0,0,8.9751787,0.0,0.009101118,27.675737,10.015002,418.45853,-9.2651472
2109,2109,178.6811,3.5432389,0.15907367,0.0,0,8.9459143,0.0,0.01040632,42.089581,9.9828968,418.48254,-9.2646704
2110,2110,178.6813,4.185832,0.19058514,0.0,0,8.9166508,0.0,0.012509638,51.361862,9.9457531,418.50659,-9.2636518
2111,2111,178.6815,4.4351549,0.24836323,0.0,0,8.8873863,0.0,0.015646484,55.093761,9.9085741,418.53061,-9.2628078
2112,2112,178.6817,4.6893988,0.30356744,0.0,0,8.8581219,0.0,0.019551851,57.830204,9.8685207,418.55466,-9.2617617
2113,2113,178.6819,5.1603308,0.35547116,0.0,0,8.8288584,0.0,0.023581753,63.011303,9.8266115,418.57867,-9.2610016
2114,2114,178.6821,5.505754,0.4002634,0.0,0,8.7995939,0.0,0.026359132,67.636078,9.7814188,418.60272,-9.2607803
2115,2115,178.6823,5.4925814,0.43618506,0.0,0,8.7703304,0.0,0.028738577,68.207817,9.7344093,418.62674,-9.2613144
2116,2116,178.6825,5.3780508,0.48847213,0.0,0,8.7416534,0.0,0.032555275,66.48941,9.6915588,418.65079,-9.2613373
2117,2117,178.6827,5.4952483,0.54364014,0.0,0,8.7136879,0.0,0.036175039,66.964073,9.6478977,418.6748,-9.2615042
2118,2118,178.6829,5.8330102,0.56956351,0.0,0,8.6858492,0.0,0.038182959,70.577942,9.6017962,418.69885,-9.2617025
2119,2119,178.6831,6.0248933,0.58515847,0.0,0,8.6580172,0.0,0.039793961,73.437485,9.5589476,418.72287,-9.261178
2120,2120,178.6833,5.8983402,0.61462039,0.0,0,8.6301851,0.0,0.041449085,72.576164,9.5233908,418.74692,-9.261219
2121,2121,178.6835,5.7703719,0.65085989,0.0,0,8.6023531,0.0,0.043552276,70.616104,9.4906063,418.77094,-9.2617407
2122,2122,178.6837,5.935883,0.68907017,0.0,0,8.574522,0.0,0.046654709,71.613678,9.4569521,418.79498,-9.261466
2123,2123,178.6839,6.1718616,0.72260797,0.0,0,8.546689,0.0,0.049095128,74.335243,9.4222555,418.819,-9.2607107
2124,2124,178.6841,6.1837997,0.74358809,0.0,0,8.518857,0.0,0.050281718,74.970634,9.3910828,418.84305,-9.2600727
2125,2125,178.6843,6.1152115,0.77026767,0.0,0,8.4910259,0.0,0.052390266,73.984566,9.3620729,418.8671,-9.2594643
2126,2126,178.6845,6.2240129,0.81228179,0.0,0,8.4631929,0.0,0.055264365,74.563995,9.3273354,418.89111,-9.2593193
2127,2127,178.6847,6.4128366,0.85592759,0.0,0,8.4353609,0.0,0.057904292,76.60791,9.2889366,418.91516,-9.2594271
