index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
2271,195.3433,0.53808212,0.023003131,0.0,0,9.1214981,0.0,0.0011911517,5.2821069,10.190772,442.62314,-9.2364435
2272,195.3435,1.6732585,0.040515061,0.0,0,9.0922337,0.0,0.0024561482,17.836102,10.156445,443.47937,-9.2359285
2273,195.3437,2.9471552,0.070051119,0.0,0,9.0629702,0.0,0.0044442257,34.414829,10.126882,444.33557,-9.2357473
2274,195.3439,3.6795566,0.092502668,0.0,0,9.0337057,0.0,0.0057297447,45.169537,10.099983,445.1918,-9.2351265
2275,195.3441,3.9157958,0.11295089,0.0,0,9.0044422,0.0,0.0073149581,49.088188,10.069965,446.04803,-9.2338543
2276,195.3443,3.9527512,0.149487,0.0,0,8.9751778,0.0,0.0097149331,49.765354,10.032652,446.90424,-9.2327232
2277,195.3445,4.0308995,0.20845537,0.0,0,8.9459143,0.0,0.012986213,50.388252,9.9911985,447.76047,-9.2318411
2278,195.3447,3.9966018,0.28035074,0.0,0,8.9166498,0.0,0.017877381,50.190266,9.9497156,448.61667,-9.2312956
2279,195.3449,3.795567,0.34851047,0.0,0,8.8873854,0.0,0.02289384,47.770378,9.8994322,449.4729,-9.2318153
2280,195.3451,3.6651831,0.4075847,0.0,0,8.8581219,0.0,0.026638845,45.536224,9.8431435,450.3291,-9.2326984
2281,195.3453,3.751761,0.46555987,0.0,0,8.8288574,0.0,0.030627679,46.018795,9.7873688,451.18533,-9.2329836
2282,195.3455,3.8335185,0.52660346,0.0,0,8.7995939,0.0,0.035137028,47.061253,9.7305651,452.04153,-9.2329779
2283,195.3457,3.9022474,0.58297896,0.0,0,8.7703295,0.0,0.038851116,47.644329,9.6737509,452.89777,-9.232933
2284,195.3459,4.0928454,0.61973393,0.0,0,8.7416534,0.0,0.041611593,49.515835,9.6192608,453.754,-9.2329292
2285,195.3461,4.1873999,0.64076245,0.0,0,8.7136869,0.0,0.043636069,51.04781,9.5700827,454.6102,-9.2322149
2286,195.3463,4.0264239,0.67120236,0.0,0,8.6858492,0.0,0.045328811,49.670181,9.5248203,455.46643,-9.2313004
