level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
1775,1775,145.3443,2.9365764,0.038526177,0.0,0,8.975173,0.0,0.0021801852,37.248634,10.018098,318.27197,-9.3255653
1776,1776,145.3445,3.4585905,0.034876566,0.0,0,8.9459085,0.0,0.0022579026,41.804699,9.978631,318.41779,-9.3257198
1777,1777,145.3447,5.0856004,0.050045338,0.0,0,8.9166451,0.0,0.0033481831,59.873966,9.9416466,318.56363,-9.3258915
1778,1778,145.3449,6.753922,0.084461264,0.0,0,8.8873806,0.0,0.0049696555,81.695267,9.9107151,318.70944,-9.3253441
1779,1779,145.3451,7.5787082,0.10589911,0.0,0,8.8581161,0.0,0.0066797454,94.233932,9.8859587,318.85529,-9.3250465
1780,1780,145.3453,7.9227552,0.12632419,0.0,0,8.8288527,0.0,0.0084660565,99.224945,9.8592329,319.0011,-9.3241282
1781,1781,145.3455,8.2715197,0.15938286,0.0,0,8.7995882,0.0,0.010010355,103.14786,9.8239794,319.14694,-9.32302
1782,1782,145.3457,8.7708387,0.20506114,0.0,0,8.7703247,0.0,0.012777566,109.15534,9.7828503,319.29276,-9.3222551
1783,1783,145.3459,8.8714743,0.28088275,0.0,0,8.7416477,0.0,0.01805019,110.9613,9.7375755,319.4386,-9.3212385
1784,1784,145.3461,8.7309771,0.3604908,0.0,0,8.7136822,0.0,0.023203358,108.85201,9.6889076,319.58441,-9.3210497
1785,1785,145.3463,8.9913321,0.40289667,0.0,0,8.6858435,0.0,0.026477946,110.38654,9.6345167,319.73026,-9.3210335
1786,1786,145.3465,9.5981941,0.43834725,0.0,0,8.6580114,0.0,0.029437328,117.22557,9.5777225,319.87607,-9.3210888
1787,1787,145.3467,9.8813496,0.49615678,0.0,0,8.6301794,0.0,0.032775111,121.35365,9.5254498,320.02191,-9.3211174
1788,1788,145.3469,9.8328686,0.55648798,0.0,0,8.6023474,0.0,0.036650684,120.74323,9.4761419,320.16772,-9.3217869
1789,1789,145.3471,10.068624,0.60594964,0.0,0,8.5745163,0.0,0.040834337,122.1846,9.4254131,320.31357,-9.3222342
1790,1790,145.3473,10.472779,0.63597268,0.0,0,8.5466833,0.0,0.043127224,126.76101,9.3767242,320.45938,-9.3213177
1791,1791,145.3475,10.489769,0.64791709,0.0,0,8.5188513,0.0,0.043649144,128.22766,9.3335266,320.60522,-9.3208551
1792,1792,145.3477,10.084522,0.67712957,0.0,0,8.4910202,0.0,0.045796018,123.71899,9.2906294,320.75104,-9.3210449
1793,1793,145.3479,9.9100246,0.72972637,0.0,0,8.4631872,0.0,0.049350038,120.1144,9.2506275,320.89688,-9.3208475
1794,1794,145.3481,10.244457,0.76888824,0.0,0,8.4353552,0.0,0.051900625,122.63654,9.2143478,321.04269,-9.3208447
1795,1795,145.3483,10.679996,0.78538138,0.0,0,8.4075241,0.0,0.053721145,127.89037,9.1788187,321.18854,-9.3207226
1796,1796,145.3485,10.832006,0.79786414,0.0,0,8.3796911,0.0,0.054755226,130.42699,9.1447134,321.33435,-9.3198938
1797,1797,145.3487,10.786304,0.82186377,0.0,0,8.3518591,0.0,0.055714086,130.00055,9.1115112,321.48019,-9.3192387
