level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
1972,1972,165.3441,0.46902633,0.047403127,0.0,0,9.0629702,0.0,0.0029489517,4.6424656,10.102717,362.15677,-9.2884197
1973,1973,165.3443,1.66812,0.06867227,0.0,0,9.0337057,0.0,0.0040981751,17.239035,10.068057,362.23795,-9.2879286
1974,1974,165.3445,3.6265306,0.096364781,0.0,0,9.0044422,0.0,0.0062861745,40.642391,10.04257,362.31912,-9.2874727
1975,1975,165.3447,5.2644467,0.12678948,0.0,0,8.9751778,0.0,0.0081176823,62.850906,10.015827,362.4003,-9.2874088
1976,1976,165.3449,6.016592,0.14724204,0.0,0,8.9459143,0.0,0.0094221625,74.602669,9.9840984,362.48148,-9.2866774
1977,1977,165.3451,6.1930857,0.17047554,0.0,0,8.9166498,0.0,0.011226145,77.62883,9.9470901,362.56265,-9.2851515
1978,1978,165.3453,6.4075317,0.22940317,0.0,0,8.8873854,0.0,0.014554522,79.75444,9.902504,362.6438,-9.2834482
1979,1979,165.3455,6.7099972,0.30758747,0.0,0,8.8581219,0.0,0.019364072,83.196548,9.8554363,362.72498,-9.2826252
1980,1980,165.3457,6.8180022,0.36367857,0.0,0,8.8288574,0.0,0.023959823,84.730515,9.8088465,362.80615,-9.2830458
1981,1981,165.3459,6.8890352,0.40268236,0.0,0,8.7995939,0.0,0.026864551,85.168243,9.7584867,362.88733,-9.2829123
1982,1982,165.3461,7.1553884,0.44016802,0.0,0,8.7703295,0.0,0.028930103,87.797043,9.7072659,362.96851,-9.2824011
1983,1983,165.3463,7.4364657,0.48346689,0.0,0,8.7416534,0.0,0.032104362,91.133072,9.6558971,363.04968,-9.2824183
1984,1984,165.3465,7.6270957,0.54279757,0.0,0,8.7136869,0.0,0.036253139,93.202248,9.6053181,363.13086,-9.2825937
1985,1985,165.3467,7.9185429,0.5874126,0.0,0,8.6858492,0.0,0.039182223,96.23243,9.5595331,363.21204,-9.2826595
1986,1986,165.3469,8.1463556,0.59415436,0.0,0,8.6580172,0.0,0.040318795,99.291153,9.5190163,363.29318,-9.2819424
1987,1987,165.3471,8.0690994,0.60803908,0.0,0,8.6301851,0.0,0.041343685,99.072006,9.481082,363.37436,-9.2812185
