level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
1774,1774,145.3461,0.73432815,0.017657965,0.0,0,9.0044422,0.0,0.0011669908,8.7268381,10.025016,305.48056,-9.3244038
1775,1775,145.3463,1.6575892,0.031944949,0.0,0,8.9751778,0.0,0.0016234576,17.742805,9.9857349,305.61417,-9.3240299
1776,1776,145.3465,3.4326689,0.050657909,0.0,0,8.9459143,0.0,0.0031606057,38.7505,9.9562721,305.74777,-9.3240833
1777,1777,145.3467,5.0039868,0.084319472,0.0,0,8.9166498,0.0,0.005305157,59.836185,9.9326162,305.88135,-9.3240833
1778,1778,145.3469,5.8141313,0.11427256,0.0,0,8.8873854,0.0,0.0070243133,71.804604,9.9066467,306.01495,-9.3233585
1779,1779,145.3471,6.2394104,0.12878397,0.0,0,8.8581219,0.0,0.0084464075,77.82309,9.8727074,306.14856,-9.3216238
1780,1780,145.3473,6.7702131,0.16901247,0.0,0,8.8288574,0.0,0.010823509,83.715294,9.8332338,306.28214,-9.3199844
1781,1781,145.3475,7.3985133,0.2414071,0.0,0,8.7995939,0.0,0.014888076,91.360405,9.7909365,306.41574,-9.3188457
1782,1782,145.3477,7.7017407,0.30841219,0.0,0,8.7703295,0.0,0.019872358,95.595695,9.7441845,306.54935,-9.3182583
1783,1783,145.3479,7.7970743,0.36139834,0.0,0,8.7416534,0.0,0.023974665,96.646675,9.69275,306.68295,-9.3186131
1784,1784,145.3481,8.2006617,0.39740682,0.0,0,8.7136869,0.0,0.026184889,100.44631,9.6396942,306.81653,-9.3187075
1785,1785,145.3483,8.7568684,0.42492345,0.0,0,8.6858492,0.0,0.028219037,107.00358,9.5897284,306.95013,-9.3187876
1786,1786,145.3485,9.0728073,0.47705609,0.0,0,8.6580172,0.0,0.031823032,111.2794,9.5405788,307.08374,-9.3186121
1787,1787,145.3487,9.2521172,0.53369331,0.0,0,8.6301851,0.0,0.035374969,113.19872,9.4955339,307.21735,-9.3181467
1788,1788,145.3489,9.6058931,0.55204082,0.0,0,8.6023531,0.0,0.037232876,117.00266,9.4528666,307.35092,-9.3179703
1789,1789,145.3491,9.8757296,0.55755031,0.0,0,8.5745211,0.0,0.038098596,120.65876,9.4131727,307.48453,-9.3172159
