index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
2456,195.3803,4.0102782,0.11704065,0.0,0,9.8438616,0.0,0.0076137399,50.660576,9.9470654,450.67014,-9.2322969
2457,195.3805,4.0256557,0.1185147,0.0,0,9.8408623,0.0,0.0080931121,50.796379,9.94347,450.70837,-9.2334194
2458,195.3807,4.0385833,0.12360647,0.0,0,9.837863,0.0,0.0081790648,51.002953,9.9399767,450.74664,-9.2340984
2459,195.3809,4.0616827,0.12781394,0.0,0,9.8348627,0.0,0.0083593912,51.254627,9.9344015,450.78488,-9.2338247
2460,195.3811,4.0943642,0.12715651,0.0,0,9.8318624,0.0,0.0087399306,51.581867,9.9306164,450.82312,-9.2339201
2461,195.3813,4.1200109,0.13365722,0.0,0,9.8288622,0.0,0.0089157382,51.947094,9.9283381,450.86139,-9.2337971
2462,195.3815,4.1426859,0.13901356,0.0,0,9.8258629,0.0,0.0090677785,52.290733,9.9256191,450.89963,-9.2330627
2463,195.3817,4.1654058,0.13691515,0.0,0,9.8228626,0.0,0.0093747098,52.499435,9.9208689,450.9379,-9.2322979
2464,195.3819,4.1762042,0.14362429,0.0,0,9.8198624,0.0,0.0096162511,52.634163,9.9162378,450.97614,-9.2320023
2465,195.3821,4.1740646,0.15096821,0.0,0,9.8168621,0.0,0.0097532412,52.645176,9.9138441,451.01437,-9.2319965
2466,195.3823,4.1735992,0.14827158,0.0,0,9.8138628,0.0,0.0099510169,52.593777,9.9114399,451.05264,-9.2320766
2467,195.3825,4.181426,0.15335874,0.0,0,9.8108625,0.0,0.01027495,52.688629,9.908061,451.09088,-9.2327604
2468,195.3827,4.1981821,0.1617211,0.0,0,9.8078623,0.0,0.010488114,52.855827,9.9038582,451.12912,-9.2332792
2469,195.3829,4.2216368,0.1585362,0.0,0,9.804862,0.0,0.010678283,53.122696,9.9000769,451.16739,-9.2331953
2470,195.3831,4.2486463,0.16324553,0.0,0,9.8018627,0.0,0.011038364,53.450199,9.8971109,451.20563,-9.2329206
2471,195.3833,4.2735605,0.17266099,0.0,0,9.7988625,0.0,0.011213572,53.736797,9.8945322,451.2439,-9.2323351
2472,195.3835,4.288475,0.16920146,0.0,0,9.7958622,0.0,0.011358545,53.944813,9.8895922,451.28214,-9.2327938
2473,195.3837,4.2958369,0.17281641,0.0,0,9.7928629,0.0,0.011767647,54.051373,9.8854294,451.32303,-9.2328205
2474,195.3839,4.2975607,0.18215926,0.0,0,9.7898626,0.0,0.011974443,54.117481,9.8814058,451.37442,-9.2328644
2475,195.3841,4.29392,0.1801572,0.0,0,9.7868624,0.0,0.012037257,54.09938,9.8766651,451.42581,-9.2328501
2476,195.3843,4.2912459,0.18371576,0.0,0,9.7838631,0.0,0.01249755,54.073887,9.8744287,451.4772,-9.232316
2477,195.3845,4.2977924,0.19222228,0.0,0,9.7808628,0.0,0.012691963,54.111206,9.8709869,451.52859,-9.2326031
2478,195.3847,4.3076034,0.18958689,0.0,0,9.7778625,0.0,0.012619925,54.188923,9.867671,451.58002,-9.2330322
2479,195.3849,4.3215799,0.19307877,0.0,0,9.7748623,0.0,0.013110952,54.344357,9.863719,451.63141,-9.2327394
2480,195.3851,4.3460159,0.20176691,0.0,0,9.771863,0.0,0.013310743,54.550102,9.8590174,451.6828,-9.2324018
2481,195.3853,4.3666124,0.19926731,0.0,0,9.7688627,0.0,0.013187887,54.792938,9.8569956,451.73419,-9.2333212
2482,195.3855,4.3768868,0.20164692,0.0,0,9.7658625,0.0,0.013684033,54.972702,9.8554001,451.78561,-9.2334318
2483,195.3857,4.3731775,0.20967303,0.0,0,9.7628622,0.0,0.013964348,55.001846,9.8528414,451.83701,-9.2328501
2484,195.3859,4.371654,0.20889051,0.0,0,9.7598629,0.0,0.013830406,55.005104,9.847559,451.8884,-9.232933
2485,195.3861,4.3730326,0.21129288,0.0,0,9.7568626,0.0,0.01433723,54.953278,9.841855,451.93979,-9.2332792
2486,195.3863,4.3686695,0.21938109,0.0,0,9.7538624,0.0,0.014752929,54.816227,9.8372459,451.99118,-9.2335138
2487,195.3865,4.3705363,0.21991642,0.0,0,9.7508621,0.0,0.014603015,54.813419,9.8364058,452.0426,-9.2330446
2488,195.3867,4.3785834,0.22202845,0.0,0,9.7478628,0.0,0.015036481,54.920193,9.8348408,452.09399,-9.2332058
2489,195.3869,4.3913693,0.22907525,0.0,0,9.7448626,0.0,0.015441898,55.004894,9.829958,452.14539,-9.2330103
2490,195.3871,4.4125967,0.23055719,0.0,0,9.7418623,0.0,0.015247945,55.210667,9.825963,452.19678,-9.2323217
2491,195.3873,4.4310079,0.23252474,0.0,0,9.738863,0.0,0.01563954,55.447193,9.823123,452.24817,-9.2322884
2492,195.3875,4.4421239,0.23716523,0.0,0,9.7358627,0.0,0.0160689,55.547661,9.8207102,452.29959,-9.2320976
2493,195.3877,4.4435663,0.23858479,0.0,0,9.7328625,0.0,0.015854057,55.606651,9.817606,452.35098,-9.2320652
2494,195.3879,4.4382176,0.24063385,0.0,0,9.7298622,0.0,0.016164826,55.573483,9.8137312,452.40237,-9.2329121
2495,195.3881,4.4280648,0.24500738,0.0,0,9.726862,0.0,0.016638158,55.421642,9.8135347,452.45377,-9.232893
2496,195.3883,4.4270926,0.24839108,0.0,0,9.7238626,0.0,0.016520018,55.422867,9.8114901,452.50516,-9.2321978
2497,195.3885,4.4388151,0.25126588,0.0,0,9.7208624,0.0,0.016802408,55.490036,9.8062382,452.55658,-9.2322874
2498,195.3887,4.4460912,0.25480625,0.0,0,9.7178631,0.0,0.01727128,55.539032,9.8037386,452.60797,-9.2327147
2499,195.3889,4.4560709,0.25828204,0.0,0,9.7148619,0.0,0.017200256,55.783909,9.8000469,452.65936,-9.2329702
2500,195.3891,4.4698358,0.26065588,0.0,0,9.7118616,0.0,0.017444579,55.958698,9.7952147,452.71075,-9.2330141
2501,195.3893,4.4802823,0.26205707,0.0,0,9.7088623,0.0,0.017875273,55.936718,9.792078,452.76218,-9.2327366
2502,195.3895,4.4854832,0.26720786,0.0,0,9.705863,0.0,0.01782831,55.963112,9.7905769,452.81357,-9.2329578
2503,195.3897,4.4848695,0.27151033,0.0,0,9.7028627,0.0,0.018030183,56.041943,9.7873392,452.86496,-9.2330389
2504,195.3899,4.4739795,0.27171344,0.0,0,9.6998625,0.0,0.018466482,55.956264,9.7812634,452.91635,-9.2323561
2505,195.3901,4.4567199,0.27737132,0.0,0,9.6968622,0.0,0.018554904,55.735001,9.7779722,452.96774,-9.232832
