index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
2421,195.3733,1.6672465,0.016859381,0.0,0,9.948863,0.0,0.0008772919,20.911812,10.051572,451.96997,-9.2366142
2422,195.3735,1.7957382,0.011821538,0.0,0,9.9458637,0.0,0.0008798273,22.558041,10.051525,452.02448,-9.2364759
2423,195.3737,1.9278606,0.014070352,0.0,0,9.9428635,0.0,0.00098058651,24.208853,10.047423,452.07895,-9.2354002
2424,195.3739,2.0718038,0.019793645,0.0,0,9.9398632,0.0,0.0010138066,25.970102,10.040849,452.13345,-9.2351761
2425,195.3741,2.2073309,0.014831491,0.0,0,9.9368629,0.0,0.00099338661,27.743158,10.037661,452.18796,-9.234952
2426,195.3743,2.319041,0.016476665,0.0,0,9.9338636,0.0,0.0011719357,29.275581,10.037142,452.24243,-9.2343187
2427,195.3745,2.418298,0.022386065,0.0,0,9.9308634,0.0,0.0012196137,30.5903,10.035362,452.29694,-9.2343006
2428,195.3747,2.5069788,0.017320255,0.0,0,9.9278631,0.0,0.0011314523,31.796698,10.03278,452.35144,-9.2342997
2429,195.3749,2.5980682,0.019084223,0.0,0,9.9248638,0.0,0.001400387,32.866009,10.028121,452.40591,-9.2342863
2430,195.3751,2.6940451,0.025553193,0.0,0,9.9218636,0.0,0.0014881765,33.990379,10.022603,452.46042,-9.2348976
2431,195.3753,2.793308,0.020524835,0.0,0,9.9188633,0.0,0.001315355,35.330627,10.019825,452.51492,-9.2350073
2432,195.3755,2.9084048,0.020946169,0.0,0,9.915864,0.0,0.0015697496,36.706722,10.01791,452.5694,-9.2349653
2433,195.3757,3.0345507,0.026167145,0.0,0,9.9128637,0.0,0.0016068912,38.225594,10.014682,452.6239,-9.2352028
2434,195.3759,3.1654067,0.021530725,0.0,0,9.9098635,0.0,0.0013636649,39.87571,10.011467,452.67841,-9.2346067
2435,195.3761,3.2877741,0.022155808,0.0,0,9.9068632,0.0,0.0016544547,41.455257,10.01004,452.73291,-9.2336845
2436,195.3763,3.3895726,0.028170455,0.0,0,9.9038639,0.0,0.001775916,42.797962,10.008595,452.78738,-9.2328749
2437,195.3765,3.4717367,0.025645521,0.0,0,9.9008636,0.0,0.0015255216,43.904877,10.004152,452.84189,-9.2328291
2438,195.3767,3.5340188,0.027408889,0.0,0,9.8978634,0.0,0.0019020628,44.76812,10.00036,452.89639,-9.232893
2439,195.3769,3.582603,0.034682617,0.0,0,9.8948631,0.0,0.0022537275,45.405621,9.9971294,452.95087,-9.2332745
2440,195.3771,3.6212626,0.034610823,0.0,0,9.8918638,0.0,0.0020887628,45.905846,9.9930305,453.00537,-9.2340364
2441,195.3773,3.6562252,0.036177307,0.0,0,9.8888636,0.0,0.0024724542,46.319447,9.9887075,453.05988,-9.2342815
2442,195.3775,3.6951807,0.041789871,0.0,0,9.8858633,0.0,0.0028605699,46.802376,9.9843435,453.11435,-9.2344446
2443,195.3777,3.7408891,0.042126216,0.0,0,9.882863,0.0,0.0026650163,47.411926,9.9815321,453.16885,-9.2347183
2444,195.3779,3.7947707,0.043998133,0.0,0,9.8798637,0.0,0.0029612549,48.056362,9.9797869,453.22336,-9.2345352
2445,195.3781,3.837075,0.048881248,0.0,0,9.8768635,0.0,0.003385237,48.582523,9.9769917,453.27783,-9.2341671
2446,195.3783,3.8572421,0.050752092,0.0,0,9.8738632,0.0,0.0032703264,48.900879,9.9751482,453.33234,-9.2334471
2447,195.3785,3.8718073,0.053592633,0.0,0,9.870863,0.0,0.0035594259,49.104839,9.9730358,453.38684,-9.2327156
2448,195.3787,3.8960121,0.057497758,0.0,0,9.8678637,0.0,0.0039867768,49.406357,9.9675255,453.44131,-9.2320642
2449,195.3789,3.9136181,0.060469855,0.0,0,9.8648634,0.0,0.0039331382,49.633728,9.9632549,453.52304,-9.2320404
2450,195.3791,3.9267581,0.063319519,0.0,0,9.8618631,0.0,0.0042251437,49.755371,9.9613428,453.63202,-9.2326727
2451,195.3793,3.9501963,0.065386601,0.0,0,9.8588629,0.0,0.0045807757,50.002357,9.9569979,453.74097,-9.2332773
2452,195.3795,3.9758415,0.069536619,0.0,0,9.8558636,0.0,0.0045421654,50.39473,9.9533596,453.84991,-9.2327766
2453,195.3797,4.0037909,0.074496008,0.0,0,9.8528633,0.0,0.004838733,50.745426,9.9527702,453.95886,-9.2322655
2454,195.3799,4.0341797,0.076327391,0.0,0,9.849864,0.0,0.005270273,51.06403,9.9481773,454.06781,-9.2334595
2455,195.3801,4.0626426,0.081196368,0.0,0,9.8468628,0.0,0.0053683799,51.338245,9.9435644,454.17676,-9.2334881
2456,195.3803,4.0800371,0.086433947,0.0,0,9.8438625,0.0,0.0055883024,51.555183,9.9420166,454.28571,-9.232254
2457,195.3805,4.0925522,0.086549163,0.0,0,9.8408632,0.0,0.0059443931,51.744995,9.9383974,454.39465,-9.232089
2458,195.3807,4.1034927,0.091615416,0.0,0,9.8378639,0.0,0.0061042933,51.890045,9.9347792,454.50363,-9.2331886
2459,195.3809,4.1111588,0.096703961,0.0,0,9.8348637,0.0,0.0062803384,51.97168,9.9309444,454.61258,-9.2327433
2460,195.3811,4.124907,0.094833784,0.0,0,9.8318634,0.0,0.0064973496,52.108498,9.9267111,454.72153,-9.2321291
2461,195.3813,4.1366625,0.099419571,0.0,0,9.8288631,0.0,0.0066187587,52.342571,9.924633,454.83047,-9.2326698
2462,195.3815,4.14922,0.10563531,0.0,0,9.8258638,0.0,0.006800625,52.475338,9.9236622,454.93942,-9.2328911
2463,195.3817,4.169168,0.1033531,0.0,0,9.8228636,0.0,0.007003414,52.656948,9.9204054,455.04837,-9.2328758
2464,195.3819,4.190599,0.10775981,0.0,0,9.8198633,0.0,0.0072037526,52.912849,9.9148102,455.15732,-9.2326775
2465,195.3821,4.2194099,0.1157232,0.0,0,9.8168631,0.0,0.0074184001,53.206959,9.9101572,455.26627,-9.2331972
2466,195.3823,4.2430129,0.1133207,0.0,0,9.8138638,0.0,0.0075864005,53.475117,9.9071398,455.37521,-9.2335119
2467,195.3825,4.2492728,0.11753835,0.0,0,9.8108635,0.0,0.0078864386,53.620899,9.9048119,455.48419,-9.2334585
2468,195.3827,4.2505431,0.12608288,0.0,0,9.8078632,0.0,0.0081129819,53.681629,9.9007015,455.59314,-9.2332954
2469,195.3829,4.2520618,0.1236101,0.0,0,9.804863,0.0,0.0082524205,53.707329,9.896493,455.70209,-9.2329111
2470,195.3831,4.2604871,0.12721249,0.0,0,9.8018637,0.0,0.0086707082,53.74017,9.8924141,455.81104,-9.2326317
2471,195.3833,4.2714071,0.13545167,0.0,0,9.7988634,0.0,0.0088703409,53.809536,9.8895855,455.91998,-9.2324991
2472,195.3835,4.2741389,0.13262205,0.0,0,9.7958632,0.0,0.0088276155,53.929119,9.8886786,456.02893,-9.232111
2473,195.3837,4.2886753,0.13492134,0.0,0,9.7928638,0.0,0.009230935,54.104225,9.8865061,456.13788,-9.2321558
2474,195.3839,4.3178039,0.14335336,0.0,0,9.7898636,0.0,0.0094267093,54.383636,9.8824778,456.24683,-9.2326908
2475,195.3841,4.3425908,0.14147055,0.0,0,9.7868633,0.0,0.0093076508,54.70797,9.8789825,456.3558,-9.2326736
2476,195.3843,4.35747,0.14398058,0.0,0,9.783864,0.0,0.0097691733,54.894054,9.8742466,456.46475,-9.2332458
2477,195.3845,4.3607678,0.15270254,0.0,0,9.7808638,0.0,0.010080049,54.921963,9.8695316,456.5737,-9.2334099
2478,195.3847,4.360363,0.15182351,0.0,0,9.7778635,0.0,0.010027569,54.90876,9.8671112,456.68265,-9.2331753
2479,195.3849,4.3557453,0.15484084,0.0,0,9.7748632,0.0,0.010499278,54.810394,9.8626575,456.7916,-9.2337713
2480,195.3851,4.3544707,0.16354308,0.0,0,9.7718639,0.0,0.010872429,54.834682,9.8566093,456.90054,-9.2340136
2481,195.3853,4.3571801,0.1630947,0.0,0,9.7688637,0.0,0.010739395,54.933746,9.8529415,457.00949,-9.2339582
2482,195.3855,4.3666368,0.16457137,0.0,0,9.7658634,0.0,0.011113459,55.000847,9.851593,457.11844,-9.233489
2483,195.3857,4.3881426,0.17057803,0.0,0,9.7628632,0.0,0.011475257,55.193817,9.8499041,457.22742,-9.2329206
2484,195.3859,4.4080205,0.17072123,0.0,0,9.7598639,0.0,0.011298355,55.523647,9.8450031,457.33636,-9.2328157
2485,195.3861,4.4243217,0.17250952,0.0,0,9.7568636,0.0,0.011652571,55.75684,9.8387995,457.44531,-9.232645
2486,195.3863,4.4355989,0.17801952,0.0,0,9.7538633,0.0,0.012006494,55.825562,9.8379011,457.55426,-9.2324772
2487,195.3865,4.4382877,0.18015203,0.0,0,9.7508631,0.0,0.011869182,55.860836,9.8368492,457.66321,-9.232584
2488,195.3867,4.4283309,0.18267527,0.0,0,9.7478638,0.0,0.012228841,55.746208,9.8334999,457.77216,-9.2334824
2489,195.3869,4.4214005,0.18732794,0.0,0,9.7448635,0.0,0.012670153,55.633907,9.8304691,457.8811,-9.2338428
2490,195.3871,4.4214158,0.19012585,0.0,0,9.7418633,0.0,0.012623684,55.615032,9.8266077,457.99005,-9.2338476
2491,195.3873,4.4276152,0.1933178,0.0,0,9.7388639,0.0,0.012973137,55.648273,9.8240547,458.099,-9.2342291
2492,195.3875,4.4430323,0.19698155,0.0,0,9.7358637,0.0,0.013388885,55.752609,9.8194828,458.20798,-9.2341118
2493,195.3877,4.4607954,0.20040229,0.0,0,9.7328634,0.0,0.013312334,55.98909,9.815423,458.31693,-9.2334042
2494,195.3879,4.4821858,0.20360801,0.0,0,9.7298632,0.0,0.013555237,56.253883,9.8142986,458.42587,-9.2329283
2495,195.3881,4.4932785,0.20508933,0.0,0,9.7268629,0.0,0.013922689,56.382385,9.8125906,458.53482,-9.2327204
2496,195.3883,4.4971342,0.20969924,0.0,0,9.7238636,0.0,0.013931438,56.465694,9.8092651,458.64377,-9.232522
2497,195.3885,4.4996834,0.21371976,0.0,0,9.7208633,0.0,0.014145598,56.469109,9.8057737,458.75272,-9.2332172
2498,195.3887,4.4899006,0.21255925,0.0,0,9.717864,0.0,0.014475401,56.349854,9.8011684,458.86166,-9.234024
2499,195.3889,4.4762182,0.21699716,0.0,0,9.7148628,0.0,0.014533586,56.163609,9.7970905,458.95413,-9.2331161
2500,195.3891,4.4698486,0.22235192,0.0,0,9.7118626,0.0,0.014721081,56.091545,9.7946949,459.03012,-9.2328815
2501,195.3893,4.4697456,0.2207749,0.0,0,9.7088633,0.0,0.015020463,56.072075,9.7936592,459.10611,-9.2332726
2502,195.3895,4.4837947,0.22533873,0.0,0,9.705864,0.0,0.015131954,56.14901,9.7924261,459.1821,-9.2327557
2503,195.3897,4.5083265,0.23123398,0.0,0,9.7028637,0.0,0.015289436,56.476894,9.7886562,459.25809,-9.2327261
2504,195.3899,4.5256529,0.22909348,0.0,0,9.6998634,0.0,0.015496575,56.777489,9.7852535,459.33405,-9.2329893
2505,195.3901,4.5334563,0.23364528,0.0,0,9.6968632,0.0,0.015673295,56.852558,9.7808781,459.41003,-9.2323799
2506,195.3903,4.5375104,0.24071902,0.0,0,9.6938639,0.0,0.015899442,56.772049,9.775878,459.48602,-9.2320528
2507,195.3905,4.5317245,0.23788066,0.0,0,9.6908636,0.0,0.016105765,56.727592,9.7735767,459.56201,-9.2326527
2508,195.3907,4.5206418,0.2419641,0.0,0,9.6878624,0.0,0.016347984,56.682652,9.7735634,459.638,-9.2324476
2509,195.3909,4.5093451,0.24993451,0.0,0,9.6848631,0.0,0.016493576,56.518486,9.7738008,459.71399,-9.2324524
2510,195.3911,4.5063648,0.24659689,0.0,0,9.6818638,0.0,0.016576024,56.435642,9.7696304,459.78995,-9.2327204
2511,195.3913,4.5142546,0.25037396,0.0,0,9.6788635,0.0,0.016918708,56.442631,9.7624245,459.86594,-9.2323561
2512,195.3915,4.5254092,0.25883675,0.0,0,9.6758633,0.0,0.017127266,56.544907,9.7587757,459.94193,-9.2328825
2513,195.3917,4.5393739,0.25531816,0.0,0,9.672863,0.0,0.017150277,56.827717,9.7565336,460.01791,-9.233305
2514,195.3919,4.5559793,0.25816238,0.0,0,9.6698637,0.0,0.017508794,56.997803,9.7542744,460.0939,-9.2332039
