level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
1872,1872,155.3437,0.2507098,0.011850791,0.0,0,9.0629511,0.0,0.00060683209,2.5367334,10.078559,347.49557,-9.3079863
1873,1873,155.3439,1.2370631,0.028526353,0.0,0,9.0336876,0.0,0.0014091237,12.489068,10.043265,347.53986,-9.307972
1874,1874,155.3441,3.0198476,0.053982168,0.0,0,9.0044231,0.0,0.0033861995,33.487473,10.014858,347.58414,-9.3074265
1875,1875,155.3443,4.670589,0.088233054,0.0,0,8.9751596,0.0,0.0054629575,55.265972,9.9898071,347.62842,-9.3063135
1876,1876,155.3445,5.6601539,0.11036611,0.0,0,8.9458952,0.0,0.006951075,69.524109,9.9623013,347.87796,-9.3053207
1877,1877,155.3447,6.0672283,0.12367847,0.0,0,8.9166317,0.0,0.0082737356,75.833817,9.9271278,348.15015,-9.3043318
1878,1878,155.3449,6.329668,0.16967206,0.0,0,8.8873672,0.0,0.010734553,79.037582,9.8875246,348.42233,-9.3029423
1879,1879,155.3451,6.5666099,0.2452884,0.0,0,8.8581028,0.0,0.015167457,81.814369,9.8483553,348.69452,-9.3025875
1880,1880,155.3453,6.6778631,0.30990875,0.0,0,8.8288393,0.0,0.020178337,83.229973,9.8061371,348.96671,-9.3024282
1881,1881,155.3455,6.7828269,0.35103941,0.0,0,8.7995749,0.0,0.023344455,84.033096,9.7594633,349.23889,-9.3016901
1882,1882,155.3457,7.1065993,0.37436572,0.0,0,8.7703114,0.0,0.02469644,87.358055,9.7119532,349.51111,-9.3022547
1883,1883,155.3459,7.3895431,0.4011997,0.0,0,8.7416353,0.0,0.026641378,91.017113,9.6679649,349.78329,-9.3024426
1884,1884,155.3461,7.4568591,0.4587194,0.0,0,8.7136698,0.0,0.030373875,91.933678,9.6252604,350.05548,-9.3023863
1885,1885,155.3463,7.6721182,0.51492733,0.0,0,8.6858311,0.0,0.034013234,93.658058,9.5810404,350.32767,-9.3022213
1886,1886,155.3465,8.0284853,0.52496052,0.0,0,8.657999,0.0,0.035566542,97.896751,9.5408926,350.59985,-9.3016567
1887,1887,155.3467,8.0837011,0.52250183,0.0,0,8.630167,0.0,0.035723008,99.547508,9.5062065,350.87204,-9.300808
1888,1888,155.3469,7.7499809,0.54541343,0.0,0,8.602335,0.0,0.036405355,96.09584,9.4741592,351.14423,-9.30019
1889,1889,155.3471,7.4903789,0.58691007,0.0,0,8.5745039,0.0,0.039092798,92.092598,9.4425726,351.41641,-9.3009357
1890,1890,155.3473,7.6789203,0.63976645,0.0,0,8.5466709,0.0,0.043128107,92.761482,9.4121227,351.6886,-9.3015509
1891,1891,155.3475,8.0888538,0.67537004,0.0,0,8.5188389,0.0,0.045551911,97.366058,9.3779507,351.96078,-9.3016624
1892,1892,155.3477,8.2996664,0.67958927,0.0,0,8.4910078,0.0,0.046128415,100.61575,9.3440847,352.23297,-9.3016806
1893,1893,155.3479,8.3264503,0.69896132,0.0,0,8.4631748,0.0,0.047561057,101.06947,9.3142014,352.50516,-9.3008995
1894,1894,155.3481,8.407218,0.75138462,0.0,0,8.4353428,0.0,0.050507203,101.56203,9.2786064,352.77734,-9.2997532
1895,1895,155.3483,8.4850636,0.8037082,0.0,0,8.4075117,0.0,0.054125346,102.28245,9.2394981,353.04953,-9.2996225
1896,1896,155.3485,8.3415785,0.85010326,0.0,0,8.3796787,0.0,0.05794077,100.74342,9.1995173,353.32172,-9.2999868
1897,1897,155.3487,8.1022863,0.89154488,0.0,0,8.3518467,0.0,0.060741771,97.590248,9.1595907,353.5939,-9.3004265
1898,1898,155.3489,8.1109047,0.92266488,0.0,0,8.3240156,0.0,0.062762275,96.702805,9.1224823,353.86609,-9.3006573
1899,1899,155.3491,8.380703,0.96210718,0.0,0,8.2961836,0.0,0.065872245,99.222008,9.0834036,354.13828,-9.3010578
1900,1900,155.3493,8.5590725,1.0052421,0.0,0,8.2683516,0.0,0.068890169,101.43726,9.0450268,354.41046,-9.301446
1901,1901,155.3495,8.5214453,1.0300496,0.0,0,8.2405195,0.0,0.070579983,101.20555,9.0094175,354.68265,-9.3013144
1902,1902,155.3497,8.518671,1.0477718,0.0,0,8.2126875,0.0,0.07233572,100.75665,8.9744034,354.95483,-9.3010159
1903,1903,155.3499,8.6617937,1.0728308,0.0,0,8.1848555,0.0,0.074033022,102.00022,8.9434843,355.22702,-9.300869
