level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
2172,2172,165.3851,1.146695,0.031263251,0.0,0,9.7928638,0.0,0.0018609747,14.273595,9.8791504,360.20932,-9.2892771
2173,2173,165.3853,1.2446275,0.03164351,0.0,0,9.7898636,0.0,0.0021559359,15.51869,9.8780642,360.20871,-9.2887096
2174,2174,165.3855,1.3493884,0.036407292,0.0,0,9.7868633,0.0,0.0024357855,16.774265,9.8763332,360.2081,-9.2880192
2175,2175,165.3857,1.4494405,0.035636775,0.0,0,9.783864,0.0,0.0021816003,18.129662,9.8736553,360.20749,-9.2866058
2176,2176,165.3859,1.5294241,0.035351314,0.0,0,9.7808638,0.0,0.0024428102,19.238304,9.871563,360.20691,-9.2858219
2177,2177,165.3861,1.6008973,0.03809239,0.0,0,9.7778635,0.0,0.0026961025,20.119457,9.8668175,360.2063,-9.2863111
2178,2178,165.3863,1.6626903,0.037467282,0.0,0,9.7748632,0.0,0.0023869537,20.989948,9.8660393,360.20569,-9.2865467
2179,2179,165.3865,1.7136509,0.037861876,0.0,0,9.7718639,0.0,0.0025632211,21.68668,9.8652515,360.20508,-9.2865705
2180,2180,165.3867,1.7508216,0.040239025,0.0,0,9.7688637,0.0,0.0028271584,22.217625,9.8611145,360.20447,-9.28724
2181,2181,165.3869,1.782606,0.0402788,0.0,0,9.7658634,0.0,0.0025795363,22.638222,9.8574152,360.20386,-9.2879896
2182,2182,165.3871,1.8186657,0.040121641,0.0,0,9.7628632,0.0,0.0026865178,22.942919,9.8528271,360.20325,-9.288579
2183,2183,165.3873,1.8517172,0.040396981,0.0,0,9.7598639,0.0,0.0029114704,23.288429,9.8500481,360.20264,-9.2886248
2184,2184,165.3875,1.8854923,0.041162558,0.0,0,9.7568636,0.0,0.0026803431,23.803268,9.849185,360.20206,-9.2884083
2185,2185,165.3877,1.9187171,0.041841384,0.0,0,9.7538633,0.0,0.002701764,24.288843,9.8461161,360.20145,-9.2883997
2186,2186,165.3879,1.9367796,0.040060721,0.0,0,9.7508631,0.0,0.0028724277,24.528788,9.8440838,360.20084,-9.2880869
