index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
2426,195.3743,1.6006684,0.027698597,0.0,0,9.9338627,0.0,0.0019562817,19.977846,10.036023,451.17426,-9.2363138
2427,195.3745,1.7234763,0.026981238,0.0,0,9.9308624,0.0,0.0016467464,21.596617,10.0319,451.18982,-9.2357397
2428,195.3747,1.8566967,0.027522147,0.0,0,9.9278631,0.0,0.0018733088,23.175297,10.027215,451.20535,-9.235733
2429,195.3749,1.9878533,0.030814784,0.0,0,9.9248629,0.0,0.0021750645,24.786976,10.023973,451.22089,-9.235589
2430,195.3751,2.1129,0.030258842,0.0,0,9.9218626,0.0,0.0019004553,26.456005,10.023705,451.23642,-9.2357578
2431,195.3753,2.2198124,0.03076775,0.0,0,9.9188633,0.0,0.0021177349,27.908781,10.022866,451.25195,-9.2360716
2432,195.3755,2.3106365,0.032732822,0.0,0,9.915863,0.0,0.0023543432,29.159296,10.019257,451.26752,-9.2360649
2433,195.3757,2.3968811,0.032138258,0.0,0,9.9128628,0.0,0.0020159318,30.237022,10.013889,451.28305,-9.2361431
2434,195.3759,2.4803822,0.032164667,0.0,0,9.9098625,0.0,0.0021118908,31.311455,10.009633,451.29858,-9.2359934
2435,195.3761,2.5670066,0.031409007,0.0,0,9.9068632,0.0,0.0022964126,32.419598,10.006965,451.31412,-9.2354345
2436,195.3763,2.6604257,0.032160163,0.0,0,9.903863,0.0,0.0020564727,33.5853,10.00562,451.32965,-9.234973
2437,195.3765,2.7740419,0.034092974,0.0,0,9.9008627,0.0,0.0021855724,34.897118,10.003656,451.34518,-9.2345877
2438,195.3767,2.9022543,0.033240691,0.0,0,9.8978624,0.0,0.0024433883,36.524685,10.000648,451.36075,-9.2342472
2439,195.3769,3.0327089,0.036189288,0.0,0,9.8948631,0.0,0.0023325074,38.251816,9.9986191,451.37628,-9.2341108
2440,195.3771,3.1486046,0.039267417,0.0,0,9.8918629,0.0,0.0024493106,39.756638,9.9977255,451.39182,-9.234129
2441,195.3773,3.2477038,0.038006086,0.0,0,9.8888626,0.0,0.0027062183,41.071377,9.9934444,451.40735,-9.23456
2442,195.3775,3.3304214,0.041436486,0.0,0,9.8858624,0.0,0.0027355102,42.103737,9.9889021,451.42288,-9.2348089
2443,195.3777,3.3861465,0.044643033,0.0,0,9.882863,0.0,0.0028478296,42.884918,9.9867783,451.43845,-9.2348614
2444,195.3779,3.4385431,0.04253161,0.0,0,9.8798628,0.0,0.0030433282,43.555191,9.9858828,451.45398,-9.2352018
2445,195.3781,3.4860702,0.047014743,0.0,0,9.8768635,0.0,0.0031419108,44.098366,9.983983,451.46951,-9.2353821
2446,195.3783,3.5297141,0.052079827,0.0,0,9.8738632,0.0,0.0032000374,44.697872,9.980587,451.48505,-9.2348566
2447,195.3785,3.5693316,0.048439544,0.0,0,9.870863,0.0,0.0033356007,45.277931,9.9762735,451.50058,-9.2348328
2448,195.3787,3.600275,0.052648816,0.0,0,9.8678627,0.0,0.0035286194,45.565392,9.9723654,451.51611,-9.2352371
2449,195.3789,3.6233957,0.059855882,0.0,0,9.8648634,0.0,0.0036449065,45.795681,9.9694796,451.66211,-9.2350492
2450,195.3791,3.6442645,0.057001133,0.0,0,9.8618631,0.0,0.0038369277,46.140312,9.9659834,451.89499,-9.2346907
2451,195.3793,3.6642034,0.061747227,0.0,0,9.8588629,0.0,0.0042233593,46.486767,9.9649944,452.12787,-9.2344837
2452,195.3795,3.6841404,0.070539087,0.0,0,9.8558626,0.0,0.0044348184,46.727295,9.9626694,452.36075,-9.2343645
2453,195.3797,3.7099466,0.068025045,0.0,0,9.8528633,0.0,0.0045335977,46.962242,9.9588213,452.5936,-9.23386
2454,195.3799,3.7372456,0.071863607,0.0,0,9.8498631,0.0,0.0048801634,47.281075,9.9544315,452.82648,-9.2337551
2455,195.3801,3.765075,0.079737067,0.0,0,9.8468628,0.0,0.0050326064,47.637123,9.9498043,453.05936,-9.2339029
2456,195.3803,3.8048451,0.076714605,0.0,0,9.8438625,0.0,0.0050530573,48.072727,9.9468203,453.29224,-9.234273
2457,195.3805,3.8321054,0.080333769,0.0,0,9.8408632,0.0,0.005471997,48.347878,9.9448948,453.52512,-9.2349796
2458,195.3807,3.8429105,0.088586546,0.0,0,9.837863,0.0,0.0056963684,48.548237,9.9410419,453.758,-9.2354088
