level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
1801,1801,145.3497,2.4825668,0.036477689,0.0,0,8.2405367,0.0,0.0024729387,31.166643,8.9317865,290.71097,-9.3238096
1802,1802,145.3499,3.1551318,0.044020846,0.0,0,8.2127056,0.0,0.0030348825,37.67981,8.8989058,290.73065,-9.3236322
1803,1803,145.3501,4.7662706,0.066625498,0.0,0,8.1848736,0.0,0.0038730022,55.982059,8.8696165,290.75037,-9.3237638
1804,1804,145.3503,6.3624277,0.081516437,0.0,0,8.1570406,0.0,0.0051583806,76.86425,8.8457565,290.77005,-9.3236027
1805,1805,145.3505,7.1877007,0.10027011,0.0,0,8.1292095,0.0,0.0067721945,89.4011,8.82407,290.78973,-9.3225222
1806,1806,145.3507,7.4759035,0.12040792,0.0,0,8.1013775,0.0,0.0076516205,93.921494,8.8000908,290.80942,-9.3209429
1807,1807,145.3509,7.7460661,0.13476741,0.0,0,8.0735445,0.0,0.0086327558,96.951134,8.7727976,290.8291,-9.3195267
1808,1808,145.3511,8.199667,0.17485969,0.0,0,8.0462675,0.0,0.011418925,102.17748,8.7438173,290.84882,-9.3190041
1809,1809,145.3513,8.3944931,0.23544107,0.0,0,8.0196619,0.0,0.014904689,105.04572,8.714138,290.8685,-9.3192549
1810,1810,145.3515,8.4031124,0.27524793,0.0,0,7.993176,0.0,0.017798102,105.04964,8.6782436,290.88818,-9.3193207
1811,1811,145.3517,8.6807604,0.30091745,0.0,0,7.9666953,0.0,0.020188162,107.26794,8.6395321,290.90787,-9.3192701
1812,1812,145.3519,9.2587013,0.32970521,0.0,0,7.9402156,0.0,0.021742996,113.88977,8.6022997,290.92755,-9.319972
1813,1813,145.3521,9.6717739,0.35826465,0.0,0,7.9137354,0.0,0.02347523,119.51653,8.5649462,290.94727,-9.3205299
1814,1814,145.3523,9.8513241,0.39602461,0.0,0,7.8872552,0.0,0.026476664,121.74694,8.5288973,290.96695,-9.3197212
1815,1815,145.3525,10.138099,0.42947137,0.0,0,7.860775,0.0,0.028700104,124.60214,8.49473,290.98663,-9.3182564
1816,1816,145.3527,10.438529,0.43759471,0.0,0,7.8342953,0.0,0.029227125,128.44617,8.4634018,291.02725,-9.3168459
1817,1817,145.3529,10.437819,0.44899151,0.0,0,7.8078156,0.0,0.03031745,129.17325,8.4329443,291.06787,-9.3158064
1818,1818,145.3531,10.181148,0.48389375,0.0,0,7.7813349,0.0,0.032401875,126.13511,8.4035997,291.10849,-9.3157091
