level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
1773,1773,145.3439,0.35393128,0.011412545,0.0,0,9.0337009,0.0,0.00078619545,4.07584,10.056586,301.8837,-9.3209171
1774,1774,145.3441,1.1402191,0.026133748,0.0,0,9.0044365,0.0,0.0012964796,11.743068,10.020124,301.9548,-9.3210592
1775,1775,145.3443,2.9032261,0.048947934,0.0,0,8.975173,0.0,0.0029687993,31.891806,9.9884005,302.02591,-9.3210335
1776,1776,145.3445,4.7804642,0.08710029,0.0,0,8.9459085,0.0,0.0053745853,56.132397,9.9606504,302.09702,-9.3209257
1777,1777,145.3447,6.0053201,0.11970638,0.0,0,8.9166451,0.0,0.0073651476,73.323784,9.9311657,302.16812,-9.3201752
1778,1778,145.3449,6.5876074,0.13805673,0.0,0,8.8873806,0.0,0.0089696134,81.825958,9.8928919,302.2392,-9.3189888
1779,1779,145.3451,7.0163698,0.18326521,0.0,0,8.8581161,0.0,0.011657521,87.052826,9.8498335,302.3103,-9.3178129
1780,1780,145.3453,7.4878931,0.26135209,0.0,0,8.8288527,0.0,0.016180407,92.635048,9.8061867,302.38141,-9.3162842
1781,1781,145.3455,7.7792516,0.33178923,0.0,0,8.7995882,0.0,0.021406384,96.448586,9.7586546,302.45251,-9.3155193
1782,1782,145.3457,7.9552903,0.38378575,0.0,0,8.7703247,0.0,0.025480263,98.21769,9.7082071,302.52362,-9.3162384
1783,1783,145.3459,8.3472624,0.41942498,0.0,0,8.7416477,0.0,0.027670074,102.16488,9.6526222,302.59473,-9.316967
1784,1784,145.3461,8.8117046,0.45053047,0.0,0,8.7136822,0.0,0.02985087,107.78544,9.5957632,302.66583,-9.3167086
1785,1785,145.3463,9.0797262,0.5078246,0.0,0,8.6858435,0.0,0.033809014,111.1467,9.5461931,302.73694,-9.3166132
1786,1786,145.3465,9.3879881,0.56814069,0.0,0,8.6580114,0.0,0.037717301,114.16489,9.4970369,302.80801,-9.316186
1787,1787,145.3467,9.840867,0.58790141,0.0,0,8.6301794,0.0,0.039661292,119.32829,9.4493513,302.87912,-9.3154202
1788,1788,145.3469,10.027541,0.59205943,0.0,0,8.6023474,0.0,0.040442977,122.40404,9.4074574,302.95023,-9.314436
1789,1789,145.3471,9.7956867,0.61265177,0.0,0,8.5745163,0.0,0.0412145,120.38771,9.3692131,303.02133,-9.3139811
1790,1790,145.3473,9.5547962,0.64824319,0.0,0,8.5466833,0.0,0.043373622,116.89399,9.3336678,303.09244,-9.3142748
1791,1791,145.3475,9.6966286,0.69870597,0.0,0,8.5188513,0.0,0.047211818,117.1378,9.2982283,303.16354,-9.3147802
1792,1792,145.3477,10.093967,0.73951048,0.0,0,8.4910202,0.0,0.050052926,121.30911,9.2622175,303.23465,-9.3153906
