level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
2438,2438,212.0104,0.4725692,0.0070835822,0.0,0,9.0629702,0.0,0.00036544981,5.713079,10.105952,499.75995,-9.2067614
2439,2439,212.0106,1.0566946,0.01340494,0.0,0,9.0337057,0.0,0.00071984075,11.281008,10.071126,499.75458,-9.2060452
2440,2440,212.0108,2.5432918,0.030056106,0.0,0,9.0044422,0.0,0.0019177262,27.981102,10.041296,499.74921,-9.2057352
2441,2441,212.011,4.0792856,0.058698788,0.0,0,8.9751778,0.0,0.0034473673,48.165688,10.019416,499.74387,-9.2057219
2442,2442,212.0112,4.8786778,0.084568255,0.0,0,8.9459143,0.0,0.005226647,60.34988,9.9995356,499.73849,-9.2059555
2443,2443,212.0114,5.092155,0.10089868,0.0,0,8.9166498,0.0,0.0067359982,64.106506,9.9724855,499.73312,-9.2052641
2444,2444,212.0116,5.1482954,0.1311112,0.0,0,8.8873854,0.0,0.0083051575,64.855583,9.9388418,499.72778,-9.2044973
2445,2445,212.0118,5.2511535,0.18666089,0.0,0,8.8581219,0.0,0.011525791,65.865982,9.9009237,499.72241,-9.2040939
2446,2446,212.012,5.1636424,0.25221205,0.0,0,8.8288574,0.0,0.016196633,65.10968,9.8616896,499.71704,-9.2033472
2447,2447,212.0122,4.9400764,0.31324086,0.0,0,8.7995939,0.0,0.020377705,62.202251,9.821104,499.7117,-9.2030134
2448,2448,212.0124,4.9870477,0.34935769,0.0,0,8.7703295,0.0,0.022982394,61.675472,9.7761412,499.70633,-9.2029953
2449,2449,212.0126,5.3097544,0.36794463,0.0,0,8.7416534,0.0,0.024729501,65.193893,9.7276964,499.70096,-9.2028742
2450,2450,212.0128,5.4148521,0.41139579,0.0,0,8.7136869,0.0,0.027243216,67.081985,9.6811743,499.70181,-9.2027149
2451,2451,212.013,5.3653798,0.47381395,0.0,0,8.6858492,0.0,0.030989362,66.36348,9.6390476,499.71194,-9.2019758
2452,2452,212.0132,5.4947228,0.51447225,0.0,0,8.6580172,0.0,0.034487735,67.17247,9.5988617,499.72205,-9.201273
2453,2453,212.0134,5.6761522,0.53262621,0.0,0,8.6301851,0.0,0.036201715,69.376137,9.5600491,499.73218,-9.2018042
2454,2454,212.0136,5.5976152,0.54124486,0.0,0,8.6023531,0.0,0.036443599,69.14447,9.5222206,499.74231,-9.2021923
2455,2455,212.0138,5.2752252,0.55473733,0.0,0,8.5745211,0.0,0.037354954,65.517845,9.489172,499.75244,-9.2021437
2456,2456,212.014,5.1388612,0.59963447,0.0,0,8.546689,0.0,0.040251561,62.892391,9.459753,499.76257,-9.2033434
2457,2457,212.0142,5.4025249,0.65211582,0.0,0,8.518857,0.0,0.043566074,64.958969,9.4293404,499.77271,-9.2045717
2458,2458,212.0144,5.7846127,0.67257106,0.0,0,8.491025,0.0,0.045600768,69.436615,9.398241,499.78281,-9.2047844
