level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
2417,2417,195.3756,0.78101623,0.089998186,0.0,0,9.9578638,0.0,0.0061041191,9.5234032,10.061954,450.31116,-9.2351866
2418,2418,195.3758,0.91475064,0.090276383,0.0,0,9.9548635,0.0,0.0058516008,11.191398,10.059732,450.33093,-9.2353954
2419,2419,195.376,1.0555749,0.091991141,0.0,0,9.9518633,0.0,0.0061715962,12.953068,10.057978,450.35068,-9.2352886
2420,2420,195.3762,1.1960243,0.0956899,0.0,0,9.948863,0.0,0.0065511428,14.777973,10.052292,450.37045,-9.2350273
2421,2421,195.3764,1.3213725,0.095691077,0.0,0,9.9458637,0.0,0.0062858891,16.458862,10.048017,450.39023,-9.2345076
2422,2422,195.3766,1.4353427,0.096314274,0.0,0,9.9428635,0.0,0.006478929,17.866884,10.046021,450.40997,-9.2344122
2423,2423,195.3768,1.5363859,0.098051995,0.0,0,9.9398632,0.0,0.0067807124,19.159039,10.045108,450.42975,-9.2349291
2424,2424,195.377,1.6320373,0.098954543,0.0,0,9.9368629,0.0,0.0065411273,20.438709,10.044375,450.44949,-9.2347383
2425,2425,195.3772,1.7235703,0.099836595,0.0,0,9.9338636,0.0,0.0066885743,21.631422,10.040263,450.46927,-9.2345943
2426,2426,195.3774,1.8101367,0.10021543,0.0,0,9.9308634,0.0,0.0069377227,22.69816,10.03673,450.48901,-9.2346964
2427,2427,195.3776,1.9103496,0.10187791,0.0,0,9.9278631,0.0,0.0066959728,23.944843,10.033544,450.50879,-9.2348528
2428,2428,195.3778,2.0295196,0.10275571,0.0,0,9.9248638,0.0,0.0067676231,25.401196,10.031487,450.52856,-9.2348862
2429,2429,195.378,2.1503994,0.1007589,0.0,0,9.9218636,0.0,0.0070457207,26.909426,10.029535,450.54831,-9.2341948
2430,2430,195.3782,2.2706537,0.10404555,0.0,0,9.9188633,0.0,0.0068955328,28.419609,10.026751,450.56808,-9.2334127
2431,2431,195.3784,2.3975613,0.10713965,0.0,0,9.915864,0.0,0.0069424682,29.947794,10.024683,450.58783,-9.2327948
2432,2432,195.3786,2.5317094,0.10480283,0.0,0,9.9128637,0.0,0.0072445935,31.660912,10.021737,450.6076,-9.232914
2433,2433,195.3788,2.6682138,0.10892913,0.0,0,9.9098635,0.0,0.0072507071,33.337143,10.015182,450.62735,-9.2334604
2434,2434,195.379,2.7835953,0.11275434,0.0,0,9.9068632,0.0,0.0073191165,34.805168,10.012313,450.64713,-9.2341452
2435,2435,195.3792,2.8852453,0.10894858,0.0,0,9.9038639,0.0,0.0075497301,36.192413,10.011653,450.66687,-9.2348585
2436,2436,195.3794,2.9838479,0.11268941,0.0,0,9.9008636,0.0,0.007639389,37.502937,10.007398,450.68665,-9.2339716
2437,2437,195.3796,3.0825722,0.1180565,0.0,0,9.8978634,0.0,0.0076755458,38.703899,10.003938,450.70642,-9.2329769
2438,2438,195.3798,3.1782615,0.11346629,0.0,0,9.8948631,0.0,0.0077673201,39.831844,10.001378,450.72617,-9.2325449
2439,2439,195.38,3.2612076,0.11629266,0.0,0,9.8918638,0.0,0.0078655137,40.992039,9.9986124,450.74594,-9.2321777
2440,2440,195.3802,3.3378212,0.12236539,0.0,0,9.8888636,0.0,0.0078988289,41.988377,9.9974051,450.76569,-9.2328062
2441,2441,195.3804,3.4014354,0.11781029,0.0,0,9.8858633,0.0,0.0079650125,42.796207,9.9938364,450.78546,-9.2333488
2442,2442,195.3806,3.4560492,0.12126872,0.0,0,9.882863,0.0,0.008170425,43.55965,9.9885988,450.80521,-9.2333746
2443,2443,195.3808,3.5142484,0.12859486,0.0,0,9.8798637,0.0,0.0082302317,44.285728,9.9865036,450.82498,-9.2334538
2444,2444,195.381,3.5609326,0.12437942,0.0,0,9.8768635,0.0,0.0082828011,44.890392,9.9836454,450.84473,-9.2331982
2445,2445,195.3812,3.5970173,0.12762612,0.0,0,9.8738632,0.0,0.0087081771,45.346958,9.9800501,450.8645,-9.2328615
2446,2446,195.3814,3.6397712,0.13674693,0.0,0,9.870863,0.0,0.0089261848,45.830849,9.975462,450.88428,-9.2329483
2447,2447,195.3816,3.6874614,0.13423184,0.0,0,9.8678637,0.0,0.0089205122,46.427486,9.9721727,450.90402,-9.2333984
2448,2448,195.3818,3.7406065,0.13731462,0.0,0,9.8648634,0.0,0.0093942992,47.119678,9.9703121,450.9238,-9.2323055
2449,2449,195.382,3.7944758,0.14632984,0.0,0,9.8618631,0.0,0.0096147759,47.727001,9.9662237,450.94354,-9.2314377
2450,2450,195.3822,3.825968,0.14424485,0.0,0,9.8588629,0.0,0.0095583303,48.109425,9.9618502,450.99356,-9.2319803
2451,2451,195.3824,3.8359973,0.14705715,0.0,0,9.8558636,0.0,0.010055232,48.287224,9.9571762,451.07379,-9.2319374
2452,2452,195.3826,3.8465114,0.15597466,0.0,0,9.8528633,0.0,0.010295216,48.421921,9.9539528,451.15405,-9.2320423
2453,2453,195.3828,3.8640592,0.15434799,0.0,0,9.849864,0.0,0.010163596,48.680073,9.9528952,451.23428,-9.2321339
2454,2454,195.383,3.8867633,0.15621591,0.0,0,9.8468628,0.0,0.010624756,48.895836,9.9513044,451.31454,-9.2324972
2455,2455,195.3832,3.91381,0.16453324,0.0,0,9.8438625,0.0,0.010975839,49.193764,9.9466648,451.39478,-9.2330036
2456,2456,195.3834,3.9421687,0.16462447,0.0,0,9.8408632,0.0,0.010841819,49.590569,9.9394464,451.47504,-9.2326708
2457,2457,195.3836,3.9693305,0.16700511,0.0,0,9.8378639,0.0,0.01128477,49.878269,9.9359045,451.55527,-9.2325344
2458,2458,195.3838,4.0043316,0.1739601,0.0,0,9.8348637,0.0,0.011671556,50.308525,9.934824,451.63553,-9.2323704
2459,2459,195.384,4.0397587,0.17474449,0.0,0,9.8318634,0.0,0.011517373,50.795769,9.9312553,451.71576,-9.2314043
2460,2460,195.3842,4.0552769,0.17739727,0.0,0,9.8288631,0.0,0.011992387,50.995377,9.9242716,451.79602,-9.2313633
2461,2461,195.3844,4.0564275,0.18435101,0.0,0,9.8258638,0.0,0.012486132,51.039375,9.9193726,451.87625,-9.2319078
2462,2462,195.3846,4.0607557,0.18740006,0.0,0,9.8228636,0.0,0.012372838,51.119816,9.9176693,451.95651,-9.2311983
2463,2463,195.3848,4.0730367,0.19026256,0.0,0,9.8198633,0.0,0.012831592,51.201061,9.9149837,452.03674,-9.2311678
2464,2464,195.385,4.0919695,0.19519429,0.0,0,9.8168631,0.0,0.013321304,51.389217,9.9121084,452.117,-9.2325115
2465,2465,195.3852,4.1088738,0.19833638,0.0,0,9.8138638,0.0,0.013138941,51.676327,9.9085121,452.19724,-9.2325907
2466,2466,195.3854,4.1260343,0.2007741,0.0,0,9.8108635,0.0,0.013449709,51.851128,9.9064846,452.2775,-9.2319984
2467,2467,195.3856,4.1507425,0.20401287,0.0,0,9.8078632,0.0,0.013911296,52.044041,9.9027395,452.35773,-9.2319965
2468,2468,195.3858,4.1753368,0.20740229,0.0,0,9.804863,0.0,0.013767658,52.352966,9.8983183,452.43799,-9.2318287
2469,2469,195.386,4.1949396,0.21038204,0.0,0,9.8018637,0.0,0.014004009,52.645573,9.8945122,452.51822,-9.2317762
2470,2470,195.3862,4.2095418,0.21228883,0.0,0,9.7988634,0.0,0.014447936,52.832115,9.8909674,452.59848,-9.2319717
2471,2471,195.3864,4.2178617,0.21698192,0.0,0,9.7958632,0.0,0.014423629,52.89613,9.8864689,452.67871,-9.231905
2472,2472,195.3866,4.2210817,0.22135821,0.0,0,9.7928638,0.0,0.014658134,52.898319,9.8809767,452.75897,-9.2319479
2473,2473,195.3868,4.2284083,0.22173505,0.0,0,9.7898636,0.0,0.015076325,52.94828,9.8784771,452.8392,-9.2322922
2474,2474,195.387,4.241786,0.22756687,0.0,0,9.7868633,0.0,0.01520756,53.111069,9.8748312,452.91946,-9.2321634
2475,2475,195.3872,4.2505245,0.23305005,0.0,0,9.783864,0.0,0.015438332,53.272774,9.8707142,452.99969,-9.2318907
2476,2476,195.3874,4.2634668,0.23197706,0.0,0,9.7808638,0.0,0.015783584,53.398701,9.8684692,453.07993,-9.231389
2477,2477,195.3876,4.2828116,0.23832029,0.0,0,9.7778635,0.0,0.01598461,53.590504,9.8647089,453.16019,-9.230834
2478,2478,195.3878,4.3019319,0.24530192,0.0,0,9.7748632,0.0,0.016193394,53.873657,9.8606024,453.24042,-9.2313433
2479,2479,195.388,4.3141737,0.24295697,0.0,0,9.7718639,0.0,0.016486714,54.066902,9.8601646,453.32068,-9.2319298
2480,2480,195.3882,4.3184605,0.24747334,0.0,0,9.7688637,0.0,0.016660051,54.120094,9.8580599,453.40091,-9.2326488
2481,2481,195.3884,4.3219171,0.25357762,0.0,0,9.7658634,0.0,0.016729431,54.154549,9.8530512,453.48117,-9.2329597
2482,2482,195.3886,4.327117,0.24959248,0.0,0,9.7628632,0.0,0.016867053,54.16058,9.8492508,453.5614,-9.2326317
2483,2483,195.3888,4.325469,0.254078,0.0,0,9.7598639,0.0,0.017121216,54.177135,9.8451605,453.64166,-9.2330198
2484,2484,195.389,4.3201923,0.2623775,0.0,0,9.7568636,0.0,0.017238185,54.160313,9.841567,453.72189,-9.233263
2485,2485,195.3892,4.3247652,0.25822967,0.0,0,9.7538633,0.0,0.017381474,54.140293,9.8395252,453.80215,-9.2325602
